,DateOfDeparture,Departure,Arrival,WeeksToDeparture,std_wtd,Days_to_departure,DateBooked,route_mean,year,day,n_days,day_mean,week_mean,month_mean,oil_stock_price,oil_stock_volume,AAL_stock_price,AAL_stock_volume,SP_stock_price,SP_stock_volume
49,2012-09-16,ORD,IAH,9.833333333330001,8.59719516505,69.0,2012-07-09,10.714472079157837,2012,16,15599,10.812631154580547,11.28225526213691,11.163943762320724,97.41333533333334,296114.0,10.55,11550200.0,1462.7166339999999,4002283333.3333335
50,2012-09-15,DEN,ORD,12.55,11.0285514628,88.0,2012-06-19,10.737025430423813,2012,15,15598,9.963934488212162,11.28225526213691,11.163943762320724,98.20666766666666,283954.0,10.54,12595600.0,1464.243327,4522136666.666667
51,2012-10-27,BOS,SFO,11.304347826099999,7.338781064310001,79.0,2012-08-09,11.099965440200057,2012,27,15640,9.963934488212162,11.265915207985424,11.243521482329156,86.2719988,212417.8,11.972000000000001,5560500.0,1411.9839596000004,3343350000.0
52,2013-02-09,MSP,ATL,10.4,7.49315477093,73.0,2012-11-28,10.585135004760662,2013,9,15745,9.963934488212162,11.00443131601537,10.92646600267858,96.156667,247480.0,14.653333333333334,8565666.666666666,1517.623372666667,2885466666.6666665
53,2012-02-28,SFO,DFW,7.15384615385,6.12163041798,50.0,2012-01-09,10.861924746306206,2012,28,15398,11.08030191144073,10.957974283232332,10.92646600267858,106.550003,278723.0,7.41,12759000.0,1372.180054,3579120000.0
54,2011-10-20,LAX,DFW,15.4642857143,10.709919745399999,108.0,2011-07-04,11.548423678128142,2011,20,15267,11.358502294210167,11.39059672860385,11.243521482329156,85.300003,389241.0,6.01,4805100.0,1215.390015,4870290000.0
55,2011-09-18,DTW,ORD,8.84210526316,6.970279429239999,62.0,2011-07-18,10.731197057171306,2011,18,15235,10.812631154580547,11.28225526213691,11.163943762320724,86.45333099999998,158468.0,5.836666666666668,4294866.666666667,1208.063314,4585756666.666667
56,2011-11-21,LAS,LAX,14.5333333333,10.3515227377,102.0,2011-08-11,11.431460433848352,2011,21,15299,11.316519450921993,10.183349832740886,10.939109824172244,96.919998,279104.0,4.25,5720800.0,1192.97998,4050070000.0
57,2011-10-14,LAS,LAX,15.78125,9.82010569222,110.0,2011-06-26,11.431460433848352,2011,14,15261,11.22139005929782,11.347075783287751,11.243521482329156,86.800003,274846.0,6.04,6443400.0,1224.579956,4116690000.0
58,2013-02-08,ATL,DEN,9.7,7.41335920733,68.0,2012-12-02,10.365238592134293,2013,8,15744,11.22139005929782,11.00443131601537,10.92646600267858,95.720001,229242.0,14.75,8407500.0,1517.930054,2986150000.0
59,2012-08-23,LAX,BOS,13.481481481500001,8.77220422423,94.0,2012-05-21,10.695485317513855,2012,23,15575,11.358502294210167,11.083618439925203,11.094082010757203,96.269997,225156.0,11.04,6695000.0,1402.079956,3008240000.0
60,2012-07-06,JFK,SFO,18.078947368399998,11.9602530457,127.0,2012-03-01,12.18794616982222,2012,6,15527,11.22139005929782,10.32594916757868,10.985364033491773,84.449997,296204.0,13.87,11326900.0,1354.680054,2745140000.0
61,2012-10-25,JFK,LAX,18.421052631600002,12.4935260618,129.0,2012-06-18,13.011296273384216,2012,25,15638,11.358502294210167,11.265915207985424,11.243521482329156,86.050003,208678.0,11.97,5623700.0,1412.969971,3512640000.0
62,2011-10-30,MIA,LGA,11.56,8.08846915883,81.0,2011-08-10,10.972960051713835,2011,30,15277,10.812631154580547,11.265915207985424,11.243521482329156,93.23333466666666,244627.33333333328,5.826666666666666,4439466.666666667,1263.896688,4385703333.333333
63,2012-11-29,LAX,BOS,13.347826087,11.2839737345,93.0,2012-08-28,10.695485317513855,2012,29,15673,11.358502294210167,11.006154272408493,10.939109824172244,88.07,270030.0,13.0,4453200.0,1415.949951,3356850000.0
64,2012-08-17,DTW,ATL,12.5238095238,10.7266912308,88.0,2012-05-21,10.414952565561904,2012,17,15569,11.22139005929782,11.065551587916083,11.094082010757203,96.010002,162591.0,10.08,7573800.0,1418.160034,2922990000.0
65,2013-01-24,DTW,LGA,9.052631578949999,6.76160470936,63.0,2012-11-22,10.590408816825693,2013,24,15729,11.358502294210167,10.81796674591105,10.834783842972453,95.949997,232035.0,14.67,7112300.0,1494.819946,3699430000.0
66,2012-12-14,DFW,BOS,6.307692307690001,4.44193305114,44.0,2012-10-31,10.296316064145405,2012,14,15688,11.22139005929782,11.019252156189332,10.604161937131613,86.730003,218265.0,12.83,4226800.0,1413.579956,3210170000.0
67,2012-11-28,ORD,LGA,11.25,8.033895584389999,79.0,2012-09-10,12.764698391986366,2012,28,15672,11.22214793333977,11.006154272408493,10.939109824172244,86.489998,249744.0,12.97,4663100.0,1409.930054,3359250000.0
68,2012-10-04,CLT,LGA,8.76470588235,6.4374821530299995,61.0,2012-08-04,10.773446264218553,2012,4,15617,11.358502294210167,11.2101588870966,11.243521482329156,91.709999,291389.0,11.67,6893400.0,1461.400024,3615860000.0
69,2012-01-12,ORD,SEA,10.210526315800001,7.8001349516,71.0,2011-11-02,10.503372503792876,2012,12,15351,11.358502294210167,11.015053950391367,10.834783842972453,99.099998,370509.0,6.05,16413400.0,1295.5,4019890000.0
70,2011-11-26,SEA,DEN,12.48,8.31725114847,87.0,2011-08-31,10.410517930757084,2011,26,15304,9.963934488212162,10.183349832740886,10.939109824172244,97.3939986,300420.6,4.1033333333333335,3893000.0,1169.9633789999998,2416383333.333333
71,2012-09-08,ATL,EWR,11.4736842105,10.4369451738,80.0,2012-06-20,10.729148967478128,2012,8,15591,9.963934488212162,11.049449450925882,11.163943762320724,96.459999,269349.33333333326,12.093333333333335,8961533.333333334,1434.973348,3552970000.0
72,2012-01-09,ORD,MSP,9.35,7.08798093142,65.0,2011-11-05,11.611103856380177,2012,9,15348,11.316519450921993,11.015053950391367,10.834783842972453,101.309998,311866.0,5.72,8029900.0,1280.699951,3371600000.0
73,2012-05-18,SFO,DEN,10.2380952381,6.647591758709999,72.0,2012-03-07,10.822170916135342,2012,18,15478,11.22139005929782,11.359680195737026,11.218334523700626,91.480003,211749.0,10.06,10813400.0,1295.219971,4512470000.0
74,2012-06-25,DFW,BOS,11.409090909100001,7.950196708610001,80.0,2012-04-06,10.296316064145405,2012,25,15516,11.316519450921993,11.222057961200905,11.240980190844223,79.209999,249004.0,12.65,5882000.0,1313.719971,3501820000.0
75,2012-03-04,ORD,LAX,13.208333333299999,9.97814641089,92.0,2011-12-03,12.008992031240435,2012,4,15403,10.812631154580547,10.957974283232332,10.946436196374783,106.713333,258188.0,7.203333333333332,12958966.666666668,1366.096639,3380816666.6666665
76,2013-02-09,ATL,DFW,10.8125,11.990100083,76.0,2012-11-25,11.554773544068748,2013,9,15745,9.963934488212162,11.00443131601537,10.92646600267858,96.156667,247480.0,14.653333333333334,8565666.666666666,1517.623372666667,2885466666.6666665
77,2011-12-16,BOS,EWR,8.94117647059,7.266967973610001,63.0,2011-10-14,10.538474148674158,2011,16,15324,11.22139005929782,11.019252156189332,10.604161937131613,93.529999,205893.0,6.18,16331800.0,1219.660034,5345800000.0
78,2011-12-29,MIA,LGA,15.2,10.0013792152,106.0,2011-09-14,10.972960051713835,2011,29,15337,11.358502294210167,9.832669288766573,10.604161937131613,99.650002,153915.0,5.23,3537100.0,1263.02002,2278130000.0
79,2012-04-16,SFO,BOS,10.5263157895,8.335789111830001,74.0,2012-02-02,11.099965440200052,2012,16,15446,11.316519450921993,11.265280556839812,11.087010832810972,102.93,284959.0,8.13,7014600.0,1369.569946,3574780000.0
80,2011-11-07,SFO,DFW,9.3,7.25548794108,65.0,2011-09-03,10.861924746306206,2011,7,15285,11.316519450921993,11.170595240758693,10.939109824172244,95.519997,321186.0,5.39,3927300.0,1261.119995,3429740000.0
81,2012-03-02,DFW,ORD,9.833333333330001,9.45111260179,69.0,2011-12-24,11.919009854416485,2012,2,15401,11.22139005929782,10.957974283232332,10.946436196374783,106.699997,299664.0,7.63,7752700.0,1369.630005,3283490000.0
82,2011-11-15,SFO,JFK,11.956521739100001,8.57839919835,84.0,2011-08-23,12.18794616982222,2011,15,15293,11.08030191144073,11.160028368982363,10.939109824172244,99.370003,353319.0,4.78,6474000.0,1257.810059,3599300000.0
83,2013-02-08,MIA,LGA,13.4761904762,10.651849828200001,94.0,2012-11-06,10.972960051713835,2013,8,15744,11.22139005929782,11.00443131601537,10.92646600267858,95.720001,229242.0,14.75,8407500.0,1517.930054,2986150000.0
84,2013-01-03,PHX,ORD,11.434782608699999,7.768386324520001,80.0,2012-10-15,10.420333156365,2013,3,15708,11.358502294210167,10.3432774396269,10.834783842972453,92.919998,189812.0,13.66,5398400.0,1459.369995,3829730000.0
85,2011-12-03,LAS,LAX,12.8,8.75119039522,90.0,2011-09-04,11.431460433848352,2011,3,15311,9.963934488212162,11.006154272408493,10.604161937131613,100.96999866666668,243736.66666666663,4.933333333333334,6481300.0,1248.5466713333333,4145560000.0
86,2012-05-14,EWR,BOS,9.21052631579,6.04224891326,64.0,2012-03-11,10.538474148674156,2012,14,15474,11.316519450921993,11.359680195737026,11.218334523700626,94.779999,251994.0,11.24,7571500.0,1338.349976,3688120000.0
87,2013-02-15,SEA,DEN,11.590909090899999,8.37035068338,81.0,2012-11-26,10.410517930757084,2013,15,15751,11.22139005929782,10.900269531282103,10.92646600267858,95.860001,223592.0,14.5,15628000.0,1519.790039,3838510000.0
88,2012-01-16,BOS,EWR,7.785714285710001,6.30236306633,54.0,2011-11-23,10.538474148674158,2012,16,15355,11.316519450921993,10.92668554075603,10.834783842972453,100.2074985,340321.25,5.9025,4516550.0,1292.5250245,3930960000.0
89,2011-09-04,ORD,DEN,11.090909090899999,7.4444552130999995,78.0,2011-06-18,10.737025430423813,2011,4,15221,10.812631154580547,10.791054695489867,11.163943762320724,86.23499699999998,311725.0,5.13,5180050.0,1169.6049805,4752860000.0
90,2011-09-15,ORD,BOS,12.0740740741,7.9417394235300005,85.0,2011-06-22,11.650026639170001,2011,15,15232,11.358502294210167,11.28225526213691,11.163943762320724,89.400002,296285.0,5.86,7429900.0,1209.109985,4479730000.0
91,2012-05-05,LAS,LAX,18.3548387097,13.7490566636,128.0,2011-12-29,11.431460433848352,2012,5,15465,9.963934488212162,11.292406234578175,11.218334523700626,98.306666,395531.33333333326,10.833333333333332,7944533.333333332,1369.2599693333334,3836556666.6666665
92,2011-11-29,SFO,BOS,9.555555555560002,7.3742175834,67.0,2011-09-23,11.099965440200052,2011,29,15307,11.08030191144073,11.006154272408493,10.939109824172244,99.790001,320858.0,4.46,13151600.0,1195.189941,3992650000.0
93,2013-02-27,SFO,DFW,9.555555555560002,6.9724012424,67.0,2012-12-22,10.861924746306206,2013,27,15763,11.22214793333977,10.957974283232332,10.92646600267858,92.760002,201512.0,13.41,7390500.0,1515.98999,3551850000.0
94,2012-03-21,ORD,PHL,9.052631578949999,7.24548659673,63.0,2012-01-18,11.179789926104196,2012,21,15420,11.22214793333977,11.156500327928116,10.946436196374783,107.269997,252603.0,7.63,6737500.0,1402.890015,3573590000.0
95,2012-02-27,ORD,DFW,7.529411764710001,5.64709711997,53.0,2012-01-05,11.919009854416485,2012,27,15397,11.316519450921993,10.957974283232332,10.92646600267858,108.559998,277597.0,7.0,8458200.0,1367.589966,3648890000.0
96,2012-08-17,SEA,DEN,12.28,7.8502653883,86.0,2012-05-23,10.410517930757084,2012,17,15569,11.22139005929782,11.065551587916083,11.094082010757203,96.010002,162591.0,10.08,7573800.0,1418.160034,2922990000.0
97,2012-04-24,CLT,LGA,7.6428571428600005,6.33193545398,54.0,2012-03-01,10.773446264218553,2012,24,15454,11.08030191144073,11.1834479631972,11.087010832810972,103.550003,196136.0,9.31,9734800.0,1371.969971,3617100000.0
98,2012-07-14,LAX,ORD,14.357142857100001,10.0561913331,100.0,2012-04-05,12.008992031240435,2012,14,15535,9.963934488212162,11.11761174600949,10.985364033491773,87.54333199999999,248260.0,14.33,7520233.333333332,1355.7333576666667,3096193333.333333
99,2012-04-18,ORD,LAX,12.538461538499998,10.1043783351,88.0,2012-01-21,12.008992031240435,2012,18,15448,11.22214793333977,11.265280556839812,11.087010832810972,102.669998,195812.0,8.2,4646400.0,1385.140015,3463140000.0
100,2012-02-25,DFW,DEN,9.352941176469999,7.39882741107,65.0,2011-12-22,11.035014235874439,2012,25,15395,9.963934488212162,10.950214127109582,10.92646600267858,109.36666399999999,271007.66666666674,6.993333333333332,8396066.666666666,1366.3566486666666,3553203333.333333
101,2012-05-18,JFK,MCO,15.3448275862,11.5921027985,107.0,2012-02-01,10.394299222373727,2012,18,15478,11.22139005929782,11.359680195737026,11.218334523700626,91.480003,211749.0,10.06,10813400.0,1295.219971,4512470000.0
102,2011-12-26,DEN,LAX,17.0588235294,10.9487543957,119.0,2011-08-29,11.049831201351187,2011,26,15334,11.316519450921993,9.832669288766573,10.604161937131613,100.92499699999999,116996.0,5.455,4224275.0,1265.4050295,2156400000.0
103,2011-12-16,PHL,DFW,8.25,5.9048003070899995,58.0,2011-10-19,10.201987103765553,2011,16,15324,11.22139005929782,11.019252156189332,10.604161937131613,93.529999,205893.0,6.18,16331800.0,1219.660034,5345800000.0
104,2011-10-09,PHX,ORD,11.8636363636,8.41933972383,83.0,2011-07-18,10.420333156365,2011,9,15256,10.812631154580547,11.2101588870966,11.243521482329156,84.60000366666667,302396.66666666674,5.29,4963566.666666667,1181.7466636666666,4824660000.0
105,2012-09-22,ATL,MCO,13.827586206900001,9.68824385353,97.0,2012-06-17,11.479754618699445,2012,22,15605,9.963934488212162,11.334901909539196,11.163943762320724,92.56999933333334,183462.3333333333,10.616666666666667,6089966.666666668,1459.063354333333,4225553333.3333335
106,2012-06-11,EWR,ATL,8.21052631579,5.78867618112,57.0,2012-04-15,10.729148967478128,2012,11,15502,11.316519450921993,11.156063758332536,11.240980190844223,82.699997,343211.0,11.36,7708500.0,1308.930054,3537530000.0
107,2011-11-21,SFO,BOS,9.21052631579,6.005358231230001,64.0,2011-09-18,11.099965440200052,2011,21,15299,11.316519450921993,10.183349832740886,10.939109824172244,96.919998,279104.0,4.25,5720800.0,1192.97998,4050070000.0
108,2012-05-22,EWR,ORD,9.72222222222,7.306770072260001,68.0,2012-03-15,11.35668269301411,2012,22,15482,11.08030191144073,11.091591872232252,11.218334523700626,91.660004,226226.0,10.62,6227400.0,1316.630005,4123680000.0
109,2013-03-04,CLT,LGA,6.53846153846,4.858247019509999,46.0,2013-01-17,10.773446264218553,2013,4,15768,11.316519450921993,10.798397162846332,10.946436196374783,90.120003,231108.0,13.9,8174800.0,1525.199951,3414430000.0
110,2012-09-09,DEN,LAS,15.0769230769,11.120874342999999,106.0,2012-05-26,10.451325875925932,2012,9,15592,10.812631154580547,11.049449450925882,11.163943762320724,96.5,245672.66666666663,12.046666666666667,8983966.666666666,1432.026652,3388320000.0
111,2012-12-26,LGA,CLT,9.105263157889999,5.820411753689999,64.0,2012-10-23,10.773446264218554,2012,26,15700,11.22214793333977,9.832669288766573,10.604161937131613,90.980003,141598.0,13.23,1978800.0,1419.829956,2285030000.0
112,2011-11-21,ORD,DFW,12.08,9.09175450614,85.0,2011-08-28,11.919009854416485,2011,21,15299,11.316519450921993,10.183349832740886,10.939109824172244,96.919998,279104.0,4.25,5720800.0,1192.97998,4050070000.0
113,2012-09-11,ATL,LAX,13.090909090899999,11.1479619786,92.0,2012-06-11,11.288425192131484,2012,11,15594,11.08030191144073,11.28225526213691,11.163943762320724,97.169998,222006.0,11.62,8012700.0,1433.560059,3509630000.0
114,2012-06-26,LGA,ATL,10.181818181799999,7.46825895205,71.0,2012-04-16,12.079662364900178,2012,26,15517,11.08030191144073,11.222057961200905,11.240980190844223,79.360001,253304.0,12.88,8187700.0,1319.98999,3412940000.0
115,2011-11-21,DFW,LAX,10.7727272727,9.1699915261,75.0,2011-09-07,11.548423678128142,2011,21,15299,11.316519450921993,10.183349832740886,10.939109824172244,96.919998,279104.0,4.25,5720800.0,1192.97998,4050070000.0
