Year,Month,LoadFactorDomestic,PassengersDomestic
2016,4,87.39,"3,760,315"
2016,5,90.44,"4,099,226"
2016,6,89.59,"3,973,767"
2016,7,88.03,"3,963,425"
2016,8,84.26,"3,747,620"
2016,9,86.3,"3,696,180"
2016,10,87.94,"3,966,520"
2016,11,88.14,"3,786,460"
2016,12,87.96,"3,616,391"
2016,TOTAL,87.07,"44,904,479"
2017,1,82.15,"3,278,978"
2017,2,83.9,"3,175,699"
2017,3,87.68,"3,893,620"
2017,4,85.99,"3,544,465"
2017,5,88.73,"4,026,847"
2017,6,89.02,"3,979,928"
2017,7,87.65,"3,968,085"
2017,8,86.65,"3,946,228"
2017,9,82.84,"3,373,219"
2017,10,88.43,"3,978,568"
2017,11,88.11,"3,753,959"
2017,12,86.74,"3,431,442"
2017,TOTAL,86.59,"44,351,038"
2018,1,81.05,"3,232,202"
2018,2,84.4,"3,204,716"
2018,3,87.62,"3,965,168"
2018,4,86.65,"3,844,151"
2018,5,88.65,"4,081,926"
2018,6,88.36,"4,017,606"
2018,7,87.84,"4,117,061"
2018,8,86.72,"4,102,227"
2018,9,82.51,"3,576,210"
2018,10,86.55,"4,004,355"
2018,11,87.97,"3,869,711"
2018,12,86.51,"3,695,258"
2018,TOTAL,86.33,"45,710,591"
2019,1,80.88,"3,386,637"
2019,2,84.45,"3,272,137"
2019,3,88.69,"4,129,573"
2019,4,87.89,"3,929,355"
2019,5,89.85,"4,245,390"
2019,6,90.17,"4,207,972"
2019,7,89.45,"4,306,188"
2019,8,87.14,"4,212,111"
2019,9,84.36,"3,752,623"
2019,10,86.35,"4,126,336"
2019,11,84.85,"3,764,889"
2019,12,88.83,"3,928,011"
2019,TOTAL,87.02,"47,261,222"
2020,1,81.88,"3,530,955"
2020,2,83.65,"3,409,301"
2020,3,52.12,"1,923,568"
2020,4,17.22,"174,973"
2020,5,37.86,"364,012"
2020,6,53.68,"723,441"
2020,7,47.93,"1,149,414"
2020,8,46.47,"1,361,596"
2020,TOTAL,60.62,"12,637,260"
,,,
Note: All numbers are for scheduled services.,,,
,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,
