,iata,municipality,latitude_deg,longitude_deg,state,pop2010
438,1B1,Hudson,42.2913017273,-73.7102966309,NY,
439,SZP,Santa Paula,34.34719849,-119.060997,CA,
440,DBQ,Dubuque,42.40200043,-90.70950317,IA,
441,GCK,Garden City,37.9275016785,-100.723999023,K,
442,LBE,Latrobe,40.27590179,-79.40480042,PA,
443,PAH,Paducah,37.06079864501953,-88.7738037109375,KY,
444,CLM,Port Angeles,48.120201110839844,-123.5,WA,
445,RKS,Rock Springs,41.59420013,-109.0650024,WY,
446,SBY,Salisbury,38.34049987792969,-75.51029968261719,MD,
447,ILG,Wilmington,39.67869949,-75.60649872,DE,
448,RUT,Rutland,43.52939987,-72.94960022,VT,
449,ALS,Alamosa,37.434898,-105.866997,CO,
450,AMR,Anchorage,61.2135009765625,-149.843994140625,AK,293310.0
451,BRD,Brainerd,46.39830017,-94.13809967,MN,
452,BCE,Bryce Canyon,37.706401825,-112.144996643,T,
453,COE,Coeur d'Alene,47.77429962,-116.8199997,ID,
454,FMN,Farmington,36.741199493399996,-108.230003357,NM,
455,EFD,Houston,29.607299804700002,-95.1587982178,TX,2098450.0
456,SSF,San Antonio,29.336999893188,-98.471099853516,TX,1332880.0
457,TPH,Tonopah,38.06019974,-117.086998,NV,
458,TOP,Topeka,39.068698883057,-95.622497558594,K,
459,WWD,Wildwood,39.008499145500004,-74.9083023071,NJ,
460,INW,Winslow,35.021900177,-110.722999573,AZ,
461,ARB,Ann Arbor,42.2229995728,-83.74559783939999,MI,
462,HDN,Hayden,40.48120117,-107.2180023,CO,
463,WHP,Los Angeles,34.2593002319,-118.413002014,CA,3795370.0
464,CNY,Moab,38.75500107,-109.7549973,T,
465,IXD,Olathe,38.8308982849,-94.890296936,K,126249.0
466,SFM,Sanford,43.393901824951,-70.708000183105,ME,
467,IZA,Santa Ynez,34.60680008,-120.0759964,CA,
468,GKT,Sevierville,35.85779953,-83.52870178219999,TN,
469,SHD,Staunton/Waynesboro/Harrisonburg,38.2638015747,-78.8964004517,VA,
470,WST,Westerly,41.3496017456,-71.8033981323,RI,
471,VPS,Valparaiso,30.4832,-86.525398,FL,
472,FLO,Florence,34.18539810180664,-79.7238998413086,C,
473,MHK,Manhattan,39.14099884033203,-96.6707992553711,K,
474,MEI,Meridian,32.33259963989258,-88.75189971923828,M,
475,PLN,Pellston,45.57089996,-84.79669952,MI,
476,ALO,Waterloo,42.557098388671875,-92.40029907226562,IA,
477,LCK,Columbus,39.813801,-82.927803,OH,790935.0
479,AFW,Fort Worth,32.9875984192,-97.31880187990001,TX,748481.0
480,YNG,Youngstown/Warren,41.26070023,-80.67910004,OH,
481,HKY,Hickory,35.74110031,-81.38950348,NC,
482,CVO,Corvallis,44.49720001,-123.2900009,OR,
483,BFM,Mobile,30.626800537100003,-88.06809997559999,AL,194577.0
484,ENW,Kenosha,42.59569931,-87.92780304,WI,
485,LEE,Leesburg,28.82309914,-81.80870056,FL,
486,LOU,Louisville,38.2280006409,-85.6636962891,KY,596155.0
487,CWA,Mosinee,44.7775993347,-89.6668014526,WI,
488,SBD,San Bernardino,34.0954017639,-117.23500061,CA,209853.0
489,ENV,Wendover,40.7187004089,-114.03099823,T,
490,S03,Ashland,42.190299987799996,-122.661003113,OR,
491,CPS,Cahokia/St Louis,38.570701599100005,-90.1561965942,IL,
492,JQF,Concord,35.387798,-80.709099,NC,
493,GVL,Gainesville,34.27259827,-83.8302002,GA,
494,GXY,Greeley,40.4374008179,-104.633003235,CO,
495,LSN,Los Banos,37.06290054,-120.8690033,CA,
496,MMH,Mammoth Lakes,37.62409973,-118.8379974,CA,
497,OVE,Oroville,39.487800598145,-121.62200164795,CA,
498,ERI,Erie,42.0831270134,-80.1738667488,PA,
499,ABY,Albany,31.535499572753906,-84.19450378417969,GA,
500,AKT,Ketchikan,55.35559845,-131.7140045,AK,
501,ART,Watertown,43.99190139770508,-76.02169799804688,NY,
502,EWB,New Bedford,41.67610168457031,-70.95690155029297,MA,
503,TCL,Tuscaloosa,33.220600128174,-87.611396789551,AL,
504,INT,Winston Salem,36.13370132446289,-80.22200012207031,NC,
505,MYV,Marysville,39.09780121,-121.5699997,CA,
506,FDY,Findlay,41.013500213600004,-83.66870117190001,OH,
507,MTJ,Montrose,38.509799957300004,-107.893997192,CO,
508,PUW,Pullman/Moscow,46.7439,-117.110001,WA,
509,BCT,Boca Raton,26.3784999847,-80.1076965332,FL,
510,CXL,Calexico,32.6694984436,-115.513000488,CA,
511,CXP,Carson City,39.192199707,-119.73400116,NV,
512,CLS,Chehalis,46.676998138399995,-122.983001709,WA,
513,CTY,Cross City,29.6354999542,-83.10479736330001,FL,
515,JKA,Gulf Shores,30.29050064,-87.67179871,AL,
516,ERV,Kerrville,29.9766998291,-99.08570098879999,TX,
517,MQI,Manteo,35.91899872,-75.69550323,NC,
518,UDD,Palm Springs,33.748401641846,-116.27500152588,CA,
519,PHN,Port Huron,42.9109993,-82.52890015,MI,
520,PTV,Porterville,36.029598236084,-119.06300354004,CA,
521,AVQ,Tucson,32.4095993042,-111.218002319,AZ,527167.0
522,JLN,Joplin,37.151798248291016,-94.49829864501953,MO,
523,BPT,Beaumont/Port Arthur,29.9507999420166,-94.02069854736328,TX,
524,EWN,New Bern,35.0730018616,-77.04290008539999,NC,
525,PIH,Pocatello,42.9098014831543,-112.59600067138672,ID,
526,RDM,Redmond,44.2541008,-121.1500015,OR,
527,ADW,Camp Springs,38.810799,-76.866997,MD,
528,LAR,Laramie,41.31209945678711,-105.67500305175781,WY,
529,GYY,Gary,41.61629867553711,-87.41280364990234,IN,
530,HQM,Hoquiam,46.971199035599994,-123.93699646,WA,
531,MFD,Mansfield,40.82139968869999,-82.5166015625,OH,
532,SLE,Salem,44.90950012,-123.0029984,OR,155229.0
533,GUP,Gallup,35.511100769,-108.789001465,NM,
534,SCH,Schenectady,42.852500915527,-73.928901672363,NY,
535,BVY,Beverly,42.584201812699995,-70.91649627689999,MA,
536,BIH,Bishop,37.3731002808,-118.363998413,CA,
537,DMN,Deming,32.262298584,-107.721000671,NM,
538,HYS,Hays,38.84220123,-99.27320099,K,
539,IKK,Kankakee,41.07139968869999,-87.8462982178,IL,
540,MCW,Mason City,43.157798767100005,-93.3312988281,IA,
541,RME,Rome,43.23379898,-75.40699768,NY,
542,ISN,Williston,48.177898407,-103.641998291,ND,
543,AUO,Auburn,32.61510086,-85.43399811,AL,
544,BWD,Brownwood,31.793600082399998,-98.9564971924,TX,
545,GUC,Gunnison,38.53390121,-106.9329987,CO,
546,HWO,Hollywood,26.0012,-80.2407,FL,141018.0
547,IWS,Houston,29.818199157699997,-95.67259979250001,TX,2098450.0
548,IMM,Immokalee,26.43320084,-81.40100098,FL,
549,IOW,Iowa City,41.639198303200004,-91.5465011597,IA,
550,AFN,Jaffrey,42.805099487300005,-72.0029983521,NH,
551,UNU,Juneau,43.42660141,-88.70320129,WI,
552,LAA,Lamar,38.069698333699996,-102.68800354,CO,
553,UUU,Newport,41.5323982239,-71.28150177,RI,
554,O27,Oakdale,37.75630188,-120.8000031,CA,
555,O43,Yerington,39.0041007996,-119.157997131,NV,
556,ABR,Aberdeen,45.449100494384766,-98.42179870605469,D,
557,DEC,Decatur,39.834598541259766,-88.8656997680664,IL,
558,DHN,Dothan,31.321300506591797,-85.44960021972656,AL,
559,DUJ,Dubois,41.17829895,-78.8986969,PA,
560,LCH,Lake Charles,30.126100540161133,-93.22329711914062,LA,
561,MCN,Macon,32.69279861450195,-83.64920043945312,GA,
562,STC,St Cloud,45.546600341796875,-94.05989837646484,MN,
563,TXK,Texarkana,33.45370101928711,-93.99099731445312,AR,
564,TWF,Twin Falls,42.48180008,-114.487999,ID,
565,YKM,Yakima,46.56819916,-120.5439987,WA,
566,BQK,Brunswick,31.258800506591797,-81.46649932861328,GA,
567,SUU,Fairfield,38.262699127197,-121.92700195312,CA,
568,IRK,Kirksville,40.09349822998047,-92.5448989868164,MO,
569,EAR,Kearney,40.72700119,-99.00679779,NE,
570,STJ,St Joseph,39.771900177002,-94.909698486328,MO,
571,MIE,Muncie,40.2422981262207,-85.3958969116211,IN,
572,MQY,Smyrna,36.0089988708,-86.5201034546,TN,
573,SWO,Stillwater,36.161201477051,-97.08570098877,OK,
574,GCC,Gillette,44.348899841299996,-105.539001465,WY,
575,LWS,Lewiston,46.3745002746582,-117.01499938964844,ID,
576,LFK,Lufkin,31.2339992523,-94.75,TX,
577,VEL,Vernal,40.4408989,-109.5100021,T,
578,ADM,Ardmore,34.30301,-97.0196342,OK,
579,BNG,Banning,33.9230995178,-116.850997925,CA,
580,ESN,Easton,38.8041992188,-76.06900024410001,MD,
581,GLE,Gainesville,33.651401519800004,-97.1969985962,TX,
582,GYR,Goodyear,33.4225006104,-112.375999451,AZ,
583,IYK,Inyokern,35.65879822,-117.8300018,CA,
584,LKP,Lake Placid,44.2644996643,-73.96189880370001,NY,
585,MCD,Mackinac Island,45.86489868,-84.63729858,MI,
586,MGJ,Montgomery,41.50999832,-74.26460266,NY,205593.0
587,OUN,Norman,35.2456,-97.472099,OK,
588,OBE,Okeechobee,27.262800216699997,-80.8498001099,FL,
589,OJC,Olathe,38.84759903,-94.73760223,K,126249.0
590,RKP,Rockport,28.0867996216,-97.0446014404,TX,
591,S21,Sunriver,43.8763008118,-121.45300293,OR,
592,TOC,Toccoa,34.59379959,-83.29579926,GA,
593,VCV,Victorville,34.597499847399995,-117.383003235,CA,
594,OKV,Winchester,39.14350128,-78.14440155,VA,
595,WDR,Winder,33.98289871,-83.66739655,GA,
596,CGX,Chicago,41.85879898071289,-87.60790252685547,IL,2697530.0
597,CEC,Crescent City,41.78020096,-124.2369995,CA,
598,MSS,Massena,44.93579864501953,-74.84559631347656,NY,
599,MSL,Muscle Shoals,34.74530029,-87.61019897,AL,
600,UIN,Quincy,39.94269943,-91.19460297,IL,
601,BFF,Scottsbluff,41.87400055,-103.5960007,NE,
602,TUP,Tupelo,34.26810073852539,-88.7698974609375,M,
603,LBL,Liberal,37.0442009,-100.9599991,K,
604,BMG,Bloomington,39.145999908447266,-86.61669921875,IN,
605,FOE,Topeka,38.950901031499995,-95.66359710690001,K,
606,LOZ,London,37.0821990967,-84.08489990230001,KY,
607,SFF,Spokane,47.682800292969,-117.32299804688,WA,209523.0
608,AED,Anchorage,61.250999450683594,-149.8070068359375,AK,293310.0
609,DRT,Del Rio,29.3742008209,-100.927001953,TX,
610,EKA,Eureka,40.803398132299996,-124.112998962,CA,
611,TTD,Portland,45.54940032959,-122.40100097656,OR,585436.0
612,RMG,Rome,34.3506011963,-85.15799713130001,GA,
613,DLS,The Dalles,45.6184997559,-121.166999817,OR,
614,EAT,Wenatchee,47.3988990784,-120.207000732,WA,
615,WMC,Winnemucca,40.8965988159,-117.805999756,NV,
616,BVO,Bartlesville,36.76250076,-96.01119995,OK,
617,BLM,Belmar/Farmingdale,40.18690109,-74.12490082,NJ,
618,CPM,Compton,33.8899993896,-118.244003296,CA,
619,FCH,Fresno,36.73239899,-119.8199997,CA,497721.0
620,GAI,Gaithersburg,39.168300628699996,-77.1660003662,MD,
621,KLS,Kelso,46.11800003049999,-122.898002625,WA,
622,COI,Merritt Island,28.341600418099997,-80.6855010986,FL,
623,OXC,Oxford,41.47859954834,-73.135200500488,CT,
624,0S9,Port Townsend,48.0537986755,-122.810997009,WA,
625,ASG,Springdale,36.176399231,-94.1193008423,AR,
626,SJN,St Johns,34.51860046,-109.3789978,AZ,
627,SBS,Steamboat Springs,40.5163002,-106.8659973,CO,
628,SEP,Stephenville,32.215301513672,-98.177696228027,TX,
629,TSP,Tehachapi,35.134998321533,-118.43900299072,CA,
630,TNP,Twentynine Palms,34.13159943,-115.9459991,CA,
631,CCB,Upland,34.1115989685,-117.68800354,CA,
632,AYS,Waycross,31.2490997314,-82.39550018310001,GA,
633,ZPH,Zephyrhills,28.2282009125,-82.15589904790001,FL,
634,DDC,Dodge City,37.76340103149414,-99.9655990600586,K,
635,HRO,Harrison,36.26150131225586,-93.15470123291016,AR,
636,SHR,Sheridan,44.76919937133789,-106.9800033569336,WY,
637,VLD,Valdosta,30.782499313354492,-83.27670288085938,GA,
638,FFO,Dayton,39.8260993958,-84.0483016968,OH,
639,SKF,San Antonio,29.38419914,-98.58110046,TX,1332880.0
640,LAF,Lafayette,40.41230010986328,-86.93689727783203,IN,
641,MKG,Muskegon,43.16949844,-86.23819733,MI,
642,NKX,San Diego,32.86840057,-117.1429977,CA,1305970.0
643,CEW,Crestview,30.778799057,-86.522102356,FL,
644,SGH,Springfield,39.840301513672,-83.840202331543,OH,159484.0
646,COD,Cody,44.520198822,-109.024002075,WY,
647,FST,Fort Stockton,30.9157009125,-102.916000366,TX,
648,SUN,Hailey,43.50439835,-114.2959976,ID,
649,UTS,Huntsville,30.7469005585,-95.5871963501,TX,180960.0
650,PRX,Paris,33.636600494385,-95.450798034668,TX,
651,ADH,Ada,34.804298,-96.671303,OK,
652,LEW,Auburn/Lewiston,44.048500061,-70.2835006714,ME,
653,PLK,Branson / Hollister,36.62590027,-93.22889709,MO,
654,GED,Georgetown,38.68920135,-75.35890198,DE,
655,GBD,Great Bend,38.3442993164,-98.8591995239,K,
656,JEF,Jefferson City,38.5912017822,-92.15609741210001,MO,
657,KIC,King City,36.2280006409,-121.122001648,CA,
658,67L,Mesquite,36.83499908,-114.0550003,NV,
659,MDD,Midland,32.0364990234,-102.100997925,TX,111284.0
660,VIH,Rolla/Vichy,38.1273994446,-91.7695007324,MO,
661,RBG,Roseburg,43.238800048799995,-123.356002808,OR,
662,SYI,Shelbyville,35.56010056,-86.44249725,TN,
663,SIK,Sikeston,36.898899078369,-89.561798095703,MO,
664,SLR,Sulphur Springs,33.159801483154,-95.621101379395,TX,
665,FOK,Westhampton Beach,40.8437004089,-72.6317977905,NY,
666,BTM,Butte,45.95479965209961,-112.49700164794922,MT,
667,CGI,Cape Girardeau,37.22529983520508,-89.57080078125,MO,
668,FHU,Fort Huachuca Sierra Vista,31.588499069213867,-110.34400177001953,AZ,
669,SLK,Saranac Lake,44.38529968261719,-74.2061996459961,NY,
670,VCT,Victoria,28.85260009765625,-96.91850280761719,TX,
671,PBG,Plattsburgh,44.650901794433594,-73.46810150146484,NY,
672,LRU,Las Cruces,32.289398193359375,-106.9219970703125,NM,
673,HUF,Terre Haute,39.451499938964844,-87.30760192871094,IN,
674,JXN,Jackson,42.259799957300004,-84.45939636230001,MI,173738.0
675,LSV,Las Vegas,36.2361984253,-115.033996582,NV,584606.0
676,ALN,Alton/St Louis,38.89030075069999,-90.0459976196,IL,
677,OQU,North Kingstown,41.597099304199,-71.412101745605,RI,
678,AHO,Homer,59.645599365234375,-151.4770050048828,AK,
679,LWB,Lewisburg,37.8582992554,-80.3994979858,WV,
680,MYL,McCall,44.88970184,-116.1009979,ID,
681,PNC,Ponca City,36.73199844,-97.09980011,OK,
682,AMW,Ames,41.992001,-93.621803,IA,
683,BOW,Bartow,27.943399429299998,-81.78340148930002,FL,
684,BCB,Blacksburg,37.207599639899996,-80.4077987671,VA,
685,CGE,Cambridge,38.53929901,-76.03040314,MD,
686,UGN,Chicago/Waukegan,42.422199249268,-87.867897033691,IL,
687,CLW,Clearwater,27.9766998291,-82.7586975098,FL,
688,CEU,Clemson,34.6719017,-82.8864975,C,
689,ELN,Ellensburg,47.03300095,-120.5309982,WA,
690,GAD,Gadsden,33.972599,-86.088996,AL,
691,HSP,Hot Springs,37.95140076,-79.83390045,VA,
692,TKX,Kennett,36.2258987427,-90.0365982056,MO,
693,LWC,Lawrence,39.01119995,-95.21659851,K,
694,OAR,Marina,36.68190002,-121.762001,CA,
695,OXB,Ocean City,38.310398101807,-75.124000549316,MD,
696,OWA,Owatonna,44.12340164,-93.26059723,MN,
697,PTB,Petersburg,37.183799743652,-77.507400512695,VA,
698,PVW,Plainview,34.168098449707,-101.71700286865,TX,
699,PMP,Pompano Beach,26.247100830078,-80.111099243164,FL,
700,SHN,Shelton,47.233600616455,-123.14800262451,WA,
701,DTN,Shreveport,32.5401992798,-93.7450027466,LA,200869.0
702,TPF,Tampa,27.915599822998,-82.44930267334,FL,337062.0
703,HTS,Huntington,38.36669922,-82.55799866,WV,
704,BRL,Burlington,40.783199310302734,-91.12550354003906,IA,
705,JBR,Jonesboro,35.83169937133789,-90.64640045166016,AR,
706,MGW,Morgantown,39.64289856,-79.91629791,WV,
707,PKB,Parkersburg,39.34510040283203,-81.43920135498047,WV,
708,PQI,Presque Isle,46.68899918,-68.0447998,ME,
709,CEF,Springfield/Chicopee,42.19400024,-72.53479767,MA,
710,OWB,Owensboro,37.74010086,-87.16680145,KY,
711,ASI,Sitka,57.04710006713867,-135.36199951171875,AK,
712,ANB,Anniston,33.58819962,-85.85810089,AL,
713,DAN,Danville,36.572898864746094,-79.33609771728516,VA,
714,HGR,Hagerstown,39.707901,-77.72949982,MD,
715,TPL,Temple,31.15250015258789,-97.40779876708984,TX,
716,NQA,Millington,35.356700897217,-89.870300292969,TN,
717,VPZ,Valparaiso,41.45399857,-87.00710297,IN,
718,AKR,Akron,41.0374984741,-81.4669036865,OH,199003.0
719,AND,Anderson,34.4945983887,-82.70939636230001,C,
720,DHT,Dalhart,36.0225982666,-102.54699707,TX,
721,ECG,Elizabeth City,36.26060104,-76.17459869,NC,
722,ELY,Ely,39.29970169,-114.8420029,NV,
723,EVW,Evanston,41.27479935,-111.0350037,WY,
724,FME,Fort Meade(Odenton),39.08539962769999,-76.7593994141,MD,
725,FKL,Franklin,41.3778991699,-79.8603973389,PA,
726,LVS,Las Vegas,35.6542015076,-105.141998291,NM,584606.0
727,LAW,Lawton,34.5676994324,-98.4166030884,OK,
728,LGU,Logan,41.7911987305,-111.851997375,T,
729,NZY,San Diego,32.69919968,-117.2149963,CA,1305970.0
730,ANW,Ainsworth,42.579201,-99.992996,NE,
731,S05,Bandon,43.08649826,-124.4079971,OR,
732,DSV,Dansville,42.570899963399995,-77.7130966187,NY,
733,DVN,Davenport,41.61029816,-90.58830261,IA,
734,DTA,Delta,39.3805999756,-112.508003235,T,
735,FKN,Franklin,36.6981010437,-76.9038009644,VA,
736,3S8,Grants Pass,42.510101,-123.388,OR,
737,GVT,Greenville,33.0677986145,-96.0652999878,TX,
738,LGC,Lagrange,33.0088996887,-85.0726013184,GA,
739,LCQ,Lake City,30.1819992065,-82.57689666750001,FL,
740,MAE,Madera,36.9886016846,-120.111999512,CA,
741,MNN,Marion,40.6161994934,-83.06349945070001,OH,
742,MFV,Melfa,37.646900177,-75.761100769,VA,
743,MGR,Moultrie,31.084899902300002,-83.8032989502,GA,
744,1G4,Peach Springs,35.990398407,-113.816001892,AZ,
745,39N,Princeton/Rocky Hill,40.3992004395,-74.6588973999,NJ,
746,ROG,Rogers,36.37229919,-94.10690308,AR,
747,SKY,Sandusky,41.4333992004,-82.6522979736,OH,
748,SEF,Sebring,27.45639992,-81.3423996,FL,
749,SEG,Selinsgrove,40.820598602295,-76.863899230957,PA,
750,SBM,Sheboygan,43.76959991,-87.85140228,WI,
751,HWV,Shirley,40.8218994141,-72.86940002440001,NY,
752,SOW,Show Low,34.265499115,-110.005996704,AZ,
753,ATK,Talkeetna,62.320499420166,-150.09399414062,AK,
754,ELD,El Dorado,33.22100067138672,-92.81330108642578,AR,
755,GRK,Fort Hood/Killeen,31.067199707,-97.82890319820001,TX,
756,GGW,Glasgow,48.212502,-106.614998,MT,
757,MLS,Miles City,46.428001403808594,-105.88600158691406,MT,
758,TCM,Tacoma,47.1376991272,-122.475997925,WA,198227.0
759,GTR,Columbus/W Point/Starkville,33.450298309299995,-88.5914001465,M,
760,AXN,Alexandria,45.8662986755,-95.39469909670001,MN,140740.0
761,ZZV,Zanesville,39.9444007874,-81.89209747310001,OH,
762,MDH,Carbondale/Murphysboro,37.778099060058594,-89.25199890136719,IL,
763,FYV,Fayetteville,36.00510025024414,-94.17009735107422,AR,208335.0
764,AOR,Northway,62.9612999,-141.9290009,AK,
765,AAQ,Palmer,61.59489822387695,-149.08900451660156,AK,
766,PGV,Greenville,35.6352005,-77.38529968,NC,
767,HBG,Hattiesburg,31.26479912,-89.25279999,M,
768,ISO,Kinston,35.331401825,-77.60880279540001,NC,
769,MCK,Mc Cook,40.20629883,-100.5920029,NE,
770,AWS,Wasilla,61.5717010498,-149.539993286,AK,
771,AFO,Afton,42.7112007141,-110.942001343,WY,
772,TDW,Amarillo,35.1698989868,-101.825996399,TX,191255.0
773,74S,Anacortes,48.499,-122.662003,WA,
774,O02,Beckwourth,39.8185005188,-120.352996826,CA,
775,BXK,Buckeye,33.42039871,-112.685997,AZ,
776,CWI,Clinton,41.8311004639,-90.3291015625,IA,
777,N03,Cortland,42.59260178,-76.21489716,NY,
778,EMP,Emporia,38.3320999146,-96.19120025630001,K,
779,ESC,Escanaba,45.7226982117,-87.0936965942,MI,
780,GDM,Gardner,42.5499992371,-72.0160980225,MA,
781,GBR,Great Barrington,42.18420029,-73.40319824,MA,
782,GYH,Greenville,34.7583007812,-82.3764038086,C,
783,HTH,Hawthorne,38.544399,-118.634002,NV,
784,HZL,Hazleton,40.986801147499996,-75.9949035645,PA,
785,LDJ,Linden,40.617401123,-74.2445983887,NJ,
786,LNR,Lone Rock,43.2117004395,-90.181602478,WI,
787,MAC,Macon,32.82210159,-83.56199646,GA,
788,OLV,Olive Branch,34.9786987305,-89.78690338130001,M,
789,RKD,Rockland,44.06010056,-69.09919739,ME,
790,SAD,Safford,32.85480118,-109.6350021,AZ,
791,ANK,Salida,38.538299560547,-106.04900360107,CO,
792,GYI,Sherman/Denison,33.714099884,-96.6736984253,TX,
793,SUW,Superior,46.689701080322,-92.094703674316,WI,
794,SVE,Susanville,40.375701904297,-120.57299804688,CA,
795,TEX,Telluride,37.9538002,-107.9079971,CO,
796,ARG,Walnut Ridge,36.124667,-90.925111,AR,
797,WVL,Waterville,44.5331993103,-69.6754989624,ME,
798,AWM,West Memphis,35.1351013184,-90.2343978882,AR,
799,LNA,West Palm Beach,26.59300041,-80.08509827,FL,
800,CWC,Wichita Falls,33.85779953,-98.49040222,TX,
801,WBW,Wilkes-Barre,41.2971992493,-75.8511962891,PA,
802,ECP,Panama City Beach,30.357106,-85.795414,FL,
803,BFD,Bradford,41.8031005859375,-78.64009857177734,PA,
804,CMX,Hancock,47.168399810791016,-88.48909759521484,MI,
805,ALW,Walla Walla,46.09489822,-118.288002,WA,
806,BLV,Belleville,38.5452,-89.835197,IL,
807,HMK,Kaunakakai,21.15290069580078,-157.0959930419922,HI,
808,HNY,Lanai City,20.785600662231445,-156.9510040283203,HI,
809,LWT,Lewistown,47.04930114746094,-109.46700286865234,MT,
810,OTM,Ottumwa,41.10660172,-92.44789886,IA,
811,BTL,Battle Creek,42.307300567599995,-85.2515029907,MI,
812,MRB,Martinsburg,39.40190125,-77.98459625,WV,
813,BAK,Columbus,39.2619018555,-85.8963012695,IN,790935.0
815,YKN,Yankton,42.916698455811,-97.385902404785,D,
816,MPV,Barre/Montpelier,44.20349884,-72.56230164,VT,
817,NHZ,Brunswick,43.89220047,-69.93859863,ME,
818,BYI,Burley,42.542598724399994,-113.772003174,ID,
819,BNO,Burns,43.5918998718,-118.955001831,OR,
820,CDR,Chadron,42.837600708,-103.095001221,NE,
821,HOB,Hobbs,32.6875,-103.2170029,NM,
822,OAJ,Jacksonville,34.8292007446,-77.61209869380001,NC,823123.0
823,HBK,Kekaha,22.022800445599998,-159.785003662,HI,
824,LVM,Livingston,45.6994018555,-110.447998047,MT,
825,LOL,Lovelock,40.0663986206,-118.565002441,NV,
826,LBT,Lumberton,34.6099014282,-79.05940246579999,NC,
827,MWH,Moses Lake,47.20769882,-119.3199997,WA,
828,BPK,Mountain Home,36.3689002991,-92.47049713130001,AR,
829,PBF,Pine Bluff,34.1730995178,-91.9356002808,AR,
830,SRR,Ruidoso,33.462799072266,-105.53500366211,NM,
831,HLG,Wheeling,40.1749992371,-80.6463012695,WV,
832,BAM,Battle Mountain,40.598999023400005,-116.874000549,NV,
833,BEH,Benton Harbor,42.128601074200006,-86.4284973145,MI,
834,BWC,Brawley,32.99290085,-115.5169983,CA,
835,CAD,Cadillac,44.2752990723,-85.4188995361,MI,
836,1V6,Cañon City,38.428001403799996,-105.106002808,CO,
837,U70,Cascade,44.4938011169,-116.01599884,ID,
838,LOT,Chicago/Romeoville,41.6072998,-88.09619904,IL,
839,CVN,Clovis,34.4250984192,-103.07900238,NM,
840,CEZ,Cortez,37.3030014038,-108.627998352,CO,
841,CBE,Cumberland,39.615398407,-78.7609024048,MD,
842,PSK,Dublin,37.137298583984,-80.678497314453,VA,
843,FBL,Faribault,44.3246994019,-93.310798645,MN,
844,FSK,Fort Scott,37.7984008789,-94.7694015503,K,
845,GBG,Galesburg,40.937999725299996,-90.431098938,IL,
846,GWS,Glenwood Springs,39.5083007812,-107.310997009,CO,
847,P13,Globe,33.353099823,-110.666999817,AZ,
848,40G,Grand Canyon,35.65060043335,-112.14800262451,AZ,
849,GOK,Guthrie,35.84980011,-97.41560364,OK,
850,HAO,Hamilton,39.363800048799995,-84.5220031738,OH,
851,P14,Holbrook,34.940700531,-110.138000488,AZ,
852,IDP,Independence,37.1584014893,-95.77839660640001,K,
853,06U,Jackpot,41.97600173949999,-114.657997131,NV,
854,HKS,Jackson,32.33449936,-90.22219849,M,173738.0
855,LSB,Lordsburg,32.3334999084,-108.692001343,NM,
856,MZJ,Marana,32.5106010437,-111.32800293,AZ,
857,MWL,Mineral Wells,32.7816009521,-98.0602035522,TX,
858,PHD,New Philadelphia,40.470901489258,-81.419700622559,OH,
859,OIC,Norwich,42.566600799561,-75.524101257324,NY,
860,OKH,Oak Harbor,48.251499176,-122.674003601,WA,
861,PEQ,Pecos,31.382400512695,-103.51100158691,TX,
862,PLR,Pell City,33.558799743652,-86.249099731445,AL,
863,LOM,Philadelphia,40.1375007629,-75.2650985718,PA,1528290.0
864,SOP,Pinehurst/Southern Pines,35.23740005,-79.3911972,NC,
865,2O1,Quincy,39.943901062,-120.944999695,CA,
866,A09,Roche Harbor,48.6123008728,-123.138999939,WA,
867,RCR,Rochester,41.065601348899996,-86.18170166019999,IN,210452.0
868,SQI,Sterling/Rockfalls,41.74280167,-89.67630005,IL,
869,STE,Stevens Point,44.5452003479,-89.530296325684,WI,
870,IRS,Sturgis,41.81330109,-85.43900299,MI,
871,TVF,Thief River Falls,48.06570053,-96.18499756,MN,
872,TMA,Tifton,31.4290008545,-83.4885025024,GA,
873,MJX,Toms River,39.92750168,-74.29239655,NJ,
874,THA,Tullahoma,35.38010025,-86.24639893,TN,
875,UES,Waukesha,43.041000366211,-88.237098693848,WI,
876,ETB,West Bend,43.4221992493,-88.1278991699,WI,
877,P33,Willcox,32.24539948,-109.8949966,AZ,
878,HIB,Hibbing,47.38660049,-92.83899689,MN,
879,APN,Alpena,45.0780983,-83.56030273,MI,
880,AOO,Altoona,40.29639816,-78.31999969,PA,
881,BKW,Beckley,37.787300109899995,-81.1241989136,WV,
882,FOD,Fort Dodge,42.55149841,-94.19259644,IA,
883,MKL,Jackson,35.59989929,-88.91560364,TN,173738.0
884,JMS,Jamestown,46.92969894,-98.67819977,ND,
885,TBN,Fort Leonard Wood,37.74160004,-92.14070129,MO,
886,DOV,Dover,39.12950134,-75.46600342,DE,
887,RWI,Rocky Mount,35.856300354003906,-77.89189910888672,NC,
888,CGF,Cleveland,41.5651016235,-81.4863967896,OH,395890.0
889,EKN,Elkins,38.88940048,-79.85710144,WV,
890,HJR,Kapolei,21.3074,-158.070009,HI,
891,AEN,Kenai,60.57310104370117,-151.2449951171875,AK,
892,LBX,Angleton/Lake Jackson,29.1086006165,-95.462097168,TX,
893,DNL,Augusta,33.4664993286,-82.0393981934,GA,196192.0
