,AirPort,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,CloudCover,WindDirDegrees,DateOfDeparture,LoadFactorDomestic,PassengersDomestic,year,month,day,weekday,week,n_days,oil_stock_price,oil_stock_volume,AAL_stock_price,AAL_stock_volume,SP_stock_price,SP_stock_volume,latitude_deg,longitude_deg,state,pop2010
22,ATL,28,23,17,20,17,15,93,72,51,1019,1016,1014,16,13,3,37,11,6,314,2011-09-23,82.97,3233004,2011,9,23,4,38,15240,79.849998,427569.0,6.13,8256000.0,1136.430054,5639930000.0,33.63669967651367,-84.4281005859375,GA,429193.0
23,ATL,28,22,15,14,10,1,87,53,18,1016,1015,1013,16,16,16,23,9,1,317,2011-09-24,82.97,3233004,2011,9,24,5,38,15241,79.979998,393603.0,6.2299999999999995,8022066.666666667,1145.2700196666667,5347563333.333333,33.63669967651367,-84.4281005859375,GA,429193.0
24,ATL,31,24,16,19,14,9,79,58,37,1016,1014,1011,16,16,16,21,9,2,136,2011-09-25,82.97,3233004,2011,9,25,6,38,15242,80.109998,359637.0,6.33,7788133.333333333,1154.1099853333333,5055196666.666667,33.63669967651367,-84.4281005859375,GA,429193.0
25,ATL,30,26,21,20,18,13,90,64,37,1015,1013,1011,16,16,11,29,14,5,189,2011-09-26,82.97,3233004,2011,9,26,0,39,15243,80.239998,325671.0,6.43,7554200.0,1162.949951,4762830000.0,33.63669967651367,-84.4281005859375,GA,429193.0
26,ATL,29,24,20,19,18,14,90,68,46,1014,1012,1011,16,13,5,34,12,4,285,2011-09-27,82.97,3233004,2011,9,27,1,39,15244,84.449997,313568.0,6.11,7917800.0,1175.380005,5548130000.0,33.63669967651367,-84.4281005859375,GA,429193.0
27,ATL,26,22,18,19,18,17,93,77,60,1014,1012,1010,16,16,14,19,9,6,257,2011-09-28,82.97,3233004,2011,9,28,2,39,15245,81.209999,282850.0,6.12,6625300.0,1151.060059,4787920000.0,33.63669967651367,-84.4281005859375,GA,429193.0
28,ATL,29,23,17,18,14,12,93,65,37,1014,1012,1010,16,16,13,24,11,2,285,2011-09-29,82.97,3233004,2011,9,29,3,39,15246,82.139999,351345.0,6.1,5039900.0,1160.400024,5285740000.0,33.63669967651367,-84.4281005859375,GA,429193.0
29,ATL,26,20,14,14,9,4,78,53,27,1014,1011,1010,16,16,16,37,21,1,306,2011-09-30,82.97,3233004,2011,9,30,4,39,15247,79.199997,367957.0,5.5,8429500.0,1131.420044,4416790000.0,33.63669967651367,-84.4281005859375,GA,429193.0
30,ATL,18,14,10,7,3,-2,80,53,26,1019,1016,1013,16,16,16,39,22,0,333,2011-10-01,85.2,3511352,2011,10,1,5,39,15248,78.66999833333333,376232.0,5.21,10108866.666666666,1120.6900226666667,4834640000.0,33.63669967651367,-84.4281005859375,GA,429193.0
31,ATL,20,14,8,4,2,-2,76,51,26,1020,1019,1018,16,16,16,32,16,0,329,2011-10-02,85.2,3511352,2011,10,2,6,39,15249,78.13999966666667,384507.0,4.92,11788233.333333334,1109.9600013333334,5252490000.0,33.63669967651367,-84.4281005859375,GA,429193.0
32,ATL,24,16,7,3,1,-4,71,44,16,1023,1021,1020,16,16,16,27,13,0,321,2011-10-03,85.2,3511352,2011,10,3,0,40,15250,77.610001,392782.0,4.63,13467600.0,1099.22998,5670340000.0,33.63669967651367,-84.4281005859375,GA,429193.0
33,ATL,27,18,10,8,5,2,66,46,26,1025,1023,1022,16,16,16,19,8,0,339,2011-10-04,85.2,3511352,2011,10,4,1,40,15251,75.66999799999999,428113.0,5.0,8995900.0,1123.949951,3714670000.0,33.63669967651367,-84.4281005859375,GA,429193.0
34,ATL,28,21,13,9,8,7,72,49,26,1025,1023,1021,16,16,16,16,5,0,61,2011-10-05,85.2,3511352,2011,10,5,2,40,15252,79.68,336067.0,5.17,7358100.0,1144.030029,2510620000.0,33.63669967651367,-84.4281005859375,GA,429193.0
35,ATL,27,21,13,11,9,8,77,54,30,1026,1024,1022,16,16,16,26,14,2,85,2011-10-06,85.2,3511352,2011,10,6,3,40,15253,82.589996,386089.0,5.35,5228300.0,1164.969971,5098330000.0,33.63669967651367,-84.4281005859375,GA,429193.0
36,ATL,26,21,14,11,9,6,77,53,28,1028,1027,1025,16,16,16,29,18,0,85,2011-10-07,85.2,3511352,2011,10,7,4,40,15254,82.980003,377540.0,5.21,6088300.0,1155.459961,5580380000.0,33.63669967651367,-84.4281005859375,GA,429193.0
37,ATL,26,20,14,11,9,8,67,50,33,1029,1027,1025,16,16,16,39,22,3,82,2011-10-08,85.2,3511352,2011,10,8,5,40,15255,83.79000333333333,339968.3333333333,5.25,5525933.333333333,1168.6033123333334,5202520000.0,33.63669967651367,-84.4281005859375,GA,429193.0
38,ATL,22,19,16,12,10,6,67,56,44,1026,1024,1021,16,16,16,37,26,8,70,2011-10-09,85.2,3511352,2011,10,9,6,40,15256,84.60000366666667,302396.6666666667,5.29,4963566.666666667,1181.7466636666666,4824660000.0,33.63669967651367,-84.4281005859375,GA,429193.0
39,ATL,20,19,17,16,15,13,90,77,63,1021,1018,1015,16,13,4,45,31,8,61,2011-10-10,85.2,3511352,2011,10,10,0,41,15257,85.410004,264825.0,5.33,4401200.0,1194.890015,4446800000.0,33.63669967651367,-84.4281005859375,GA,429193.0
40,ATL,18,17,16,16,14,13,93,89,84,1015,1013,1012,16,11,4,42,26,8,65,2011-10-11,85.2,3511352,2011,10,11,1,41,15258,85.809998,362324.0,5.84,7072000.0,1195.540039,4424500000.0,33.63669967651367,-84.4281005859375,GA,429193.0
41,ATL,23,19,15,16,14,13,87,77,66,1012,1010,1008,16,15,5,26,9,8,60,2011-10-12,85.2,3511352,2011,10,12,2,41,15259,85.57,294230.0,6.23,9014300.0,1207.25,5355360000.0,33.63669967651367,-84.4281005859375,GA,429193.0
42,ATL,23,19,15,16,14,12,93,71,49,1009,1006,1004,16,13,2,29,12,7,236,2011-10-13,85.2,3511352,2011,10,13,3,41,15260,84.230003,360268.0,6.3,6077700.0,1203.660034,4436270000.0,33.63669967651367,-84.4281005859375,GA,429193.0
43,ATL,25,19,13,13,8,4,93,60,27,1014,1011,1007,16,16,16,35,16,0,278,2011-10-14,85.2,3511352,2011,10,14,4,41,15261,86.800003,274846.0,6.04,6443400.0,1224.579956,4116690000.0,33.63669967651367,-84.4281005859375,GA,429193.0
44,ATL,27,20,13,8,6,4,66,47,27,1020,1017,1014,16,16,16,32,15,0,287,2011-10-15,85.2,3511352,2011,10,15,5,41,15262,86.66000100000001,258996.66666666666,5.976666666666667,6496200.0,1216.673299,4178026666.6666665,33.63669967651367,-84.4281005859375,GA,429193.0
45,ATL,29,19,10,9,6,3,74,49,23,1022,1019,1017,16,16,16,19,7,0,281,2011-10-16,85.2,3511352,2011,10,16,6,41,15263,86.519999,243147.33333333334,5.913333333333333,6549000.0,1208.766642,4239363333.3333335,33.63669967651367,-84.4281005859375,GA,429193.0
46,ATL,29,22,14,11,9,8,67,48,28,1017,1014,1011,16,16,16,23,7,0,238,2011-10-17,85.2,3511352,2011,10,17,0,42,15264,86.379997,227298.0,5.85,6601800.0,1200.859985,4300700000.0,33.63669967651367,-84.4281005859375,GA,429193.0
47,ATL,27,21,14,19,16,9,93,68,42,1011,1006,1001,16,13,2,24,9,5,143,2011-10-18,85.2,3511352,2011,10,18,1,42,15265,88.339996,203765.0,6.02,4921100.0,1225.380005,4840170000.0,33.63669967651367,-84.4281005859375,GA,429193.0
48,ATL,19,14,8,18,10,3,93,77,61,1008,1001,997,16,13,0,39,22,8,280,2011-10-19,85.2,3511352,2011,10,19,2,42,15266,86.110001,112020.0,5.76,7317400.0,1209.880005,4846390000.0,33.63669967651367,-84.4281005859375,GA,429193.0
49,ATL,15,11,7,5,3,1,89,66,43,1018,1012,1008,16,16,16,35,18,5,276,2011-10-20,85.2,3511352,2011,10,20,3,42,15267,85.300003,389241.0,6.01,4805100.0,1215.390015,4870290000.0,33.63669967651367,-84.4281005859375,GA,429193.0
50,ATL,17,11,4,3,2,0,85,59,32,1021,1020,1018,16,16,16,29,13,0,294,2011-10-21,85.2,3511352,2011,10,21,4,42,15268,87.400002,296555.0,5.87,4973100.0,1238.25,4980770000.0,33.63669967651367,-84.4281005859375,GA,429193.0
51,ATL,20,13,5,4,3,2,82,58,34,1022,1020,1019,16,16,16,16,9,0,320,2011-10-22,85.2,3511352,2011,10,22,5,42,15269,88.69000033333333,359083.0,5.8966666666666665,5094666.666666667,1243.5633136666668,4756973333.333333,33.63669967651367,-84.4281005859375,GA,429193.0
52,ATL,21,14,7,7,5,4,83,58,33,1021,1019,1018,16,16,16,14,3,3,168,2011-10-23,85.2,3511352,2011,10,23,6,42,15270,89.97999866666667,421611.0,5.923333333333334,5216233.333333333,1248.8766273333333,4533176666.666667,33.63669967651367,-84.4281005859375,GA,429193.0
53,ATL,23,18,13,11,8,7,83,59,35,1022,1021,1019,16,16,14,24,10,3,324,2011-10-24,85.2,3511352,2011,10,24,0,43,15271,91.269997,484139.0,5.95,5337800.0,1254.189941,4309380000.0,33.63669967651367,-84.4281005859375,GA,429193.0
54,ATL,24,18,11,9,7,5,77,53,29,1025,1022,1021,16,16,16,21,8,0,149,2011-10-25,85.2,3511352,2011,10,25,1,43,15272,93.16999799999999,489373.0,5.6,6475900.0,1229.050049,4473970000.0,33.63669967651367,-84.4281005859375,GA,429193.0
55,ATL,25,18,11,8,7,4,77,52,27,1021,1018,1015,16,16,16,26,8,1,228,2011-10-26,85.2,3511352,2011,10,26,2,43,15273,90.199997,411445.0,5.66,4919000.0,1242.0,4873530000.0,33.63669967651367,-84.4281005859375,GA,429193.0
56,ATL,26,19,12,13,11,9,83,60,36,1015,1013,1011,16,16,16,27,11,2,251,2011-10-27,85.2,3511352,2011,10,27,3,43,15274,93.959999,327446.0,5.83,9171500.0,1284.589966,6367610000.0,33.63669967651367,-84.4281005859375,GA,429193.0
57,ATL,23,17,10,14,11,9,89,68,46,1015,1013,1012,16,15,3,23,11,6,330,2011-10-28,85.2,3511352,2011,10,28,4,43,15275,93.32,276760.0,5.94,4626200.0,1285.089966,4536690000.0,33.63669967651367,-84.4281005859375,GA,429193.0
58,ATL,15,11,6,8,2,-3,92,62,31,1022,1018,1014,16,15,6,37,22,3,340,2011-10-29,85.2,3511352,2011,10,29,5,43,15276,93.27666733333334,260693.66666666666,5.883333333333334,4532833.333333333,1274.493327,4461196666.666667,33.63669967651367,-84.4281005859375,GA,429193.0
59,ATL,16,10,4,1,-2,-4,70,48,25,1026,1024,1022,16,16,16,23,9,3,104,2011-10-30,85.2,3511352,2011,10,30,6,43,15277,93.23333466666666,244627.33333333334,5.826666666666666,4439466.666666667,1263.896688,4385703333.333333,33.63669967651367,-84.4281005859375,GA,429193.0
60,ATL,18,11,4,2,0,-2,76,51,26,1024,1023,1021,16,16,16,16,7,1,56,2011-10-31,85.2,3511352,2011,10,31,0,44,15278,93.190002,228561.0,5.77,4346100.0,1253.300049,4310210000.0,33.63669967651367,-84.4281005859375,GA,429193.0
61,ATL,20,13,6,4,1,-2,70,47,24,1027,1025,1023,16,16,16,27,6,1,80,2011-11-01,84.3,3272304,2011,11,1,1,44,15279,92.190002,351343.0,5.5,5666800.0,1218.280029,5645540000.0,33.63669967651367,-84.4281005859375,GA,429193.0
62,ATL,20,13,6,3,2,-1,76,51,26,1029,1026,1024,16,16,16,24,11,0,104,2011-11-02,84.3,3272304,2011,11,2,2,44,15280,92.510002,265626.0,5.28,7873300.0,1237.900024,4110530000.0,33.63669967651367,-84.4281005859375,GA,429193.0
63,ATL,22,14,7,14,8,3,90,68,45,1024,1015,1010,16,13,2,40,16,5,227,2011-11-03,84.3,3272304,2011,11,3,3,44,15281,94.07,299987.0,5.61,8596300.0,1261.150024,4849140000.0,33.63669967651367,-84.4281005859375,GA,429193.0
64,ATL,17,12,7,6,4,2,83,66,48,1020,1015,1012,16,16,16,40,24,3,325,2011-11-04,84.3,3272304,2011,11,4,4,44,15282,94.260002,295457.0,5.5,6493300.0,1253.22998,3830650000.0,33.63669967651367,-84.4281005859375,GA,429193.0
65,ATL,16,11,6,6,1,-4,86,56,25,1027,1024,1020,16,16,13,37,18,0,66,2011-11-05,84.3,3272304,2011,11,5,5,44,15283,94.68000033333334,304033.3333333333,5.463333333333333,5637966.666666667,1255.859985,3697013333.3333335,33.63669967651367,-84.4281005859375,GA,429193.0
66,ATL,19,13,6,8,4,0,77,61,45,1030,1028,1027,16,16,16,29,17,3,81,2011-11-06,84.3,3272304,2011,11,6,6,44,15284,95.09999866666666,312609.6666666667,5.426666666666667,4782633.333333333,1258.48999,3563376666.6666665,33.63669967651367,-84.4281005859375,GA,429193.0
67,ATL,22,16,8,9,8,7,86,64,41,1029,1027,1024,16,16,16,19,9,2,94,2011-11-07,84.3,3272304,2011,11,7,0,45,15285,95.519997,321186.0,5.39,3927300.0,1261.119995,3429740000.0,33.63669967651367,-84.4281005859375,GA,429193.0
68,ATL,22,16,9,11,9,7,83,65,47,1025,1023,1021,16,16,16,19,10,3,104,2011-11-08,84.3,3272304,2011,11,8,1,45,15286,96.800003,313566.0,5.21,6410800.0,1275.920044,3908490000.0,33.63669967651367,-84.4281005859375,GA,429193.0
69,ATL,22,17,11,14,11,8,83,68,53,1021,1018,1015,16,15,5,24,9,6,184,2011-11-09,84.3,3272304,2011,11,9,2,45,15287,95.739998,445712.0,5.05,4424000.0,1229.099976,4659740000.0,33.63669967651367,-84.4281005859375,GA,429193.0
70,ATL,15,11,6,13,2,-8,87,58,28,1020,1016,1015,16,16,13,40,25,5,319,2011-11-10,84.3,3272304,2011,11,10,3,45,15288,97.779999,347730.0,4.85,7302900.0,1239.699951,4002760000.0,33.63669967651367,-84.4281005859375,GA,429193.0
71,ATL,14,7,0,-3,-8,-12,59,37,15,1024,1022,1020,16,16,16,26,10,0,300,2011-11-11,84.3,3272304,2011,11,11,4,45,15289,98.989998,282786.0,5.01,5658900.0,1263.849976,3370180000.0,33.63669967651367,-84.4281005859375,GA,429193.0
72,ATL,18,9,1,-1,-3,-4,75,50,25,1027,1025,1023,16,16,16,19,6,4,205,2011-11-12,84.3,3272304,2011,11,12,5,45,15290,98.706665,305698.3333333333,5.0,5385233.333333333,1259.8266603333334,3320013333.3333335,33.63669967651367,-84.4281005859375,GA,429193.0
73,ATL,22,15,8,9,3,-5,67,52,36,1025,1022,1019,16,16,16,29,11,5,182,2011-11-13,84.3,3272304,2011,11,13,6,45,15291,98.423332,328610.6666666667,4.99,5111566.666666667,1255.8033446666666,3269846666.6666665,33.63669967651367,-84.4281005859375,GA,429193.0
74,ATL,26,19,12,14,11,8,77,59,40,1021,1018,1016,16,16,16,32,12,6,189,2011-11-14,84.3,3272304,2011,11,14,0,46,15292,98.139999,351523.0,4.98,4837900.0,1251.780029,3219680000.0,33.63669967651367,-84.4281005859375,GA,429193.0
75,ATL,24,20,15,18,16,13,93,76,58,1017,1015,1013,16,12,2,32,8,7,212,2011-11-15,84.3,3272304,2011,11,15,1,46,15293,99.370003,353319.0,4.78,6474000.0,1257.810059,3599300000.0,33.63669967651367,-84.4281005859375,GA,429193.0
76,ATL,24,19,14,19,17,11,93,83,73,1014,1011,1008,16,13,3,35,16,7,217,2011-11-16,84.3,3272304,2011,11,16,2,46,15294,102.589996,379612.0,4.5,6801000.0,1236.910034,4085010000.0,33.63669967651367,-84.4281005859375,GA,429193.0
77,ATL,14,9,4,11,1,-8,86,58,29,1027,1020,1012,16,16,16,37,24,3,328,2011-11-17,84.3,3272304,2011,11,17,3,46,15295,98.82,194039.0,4.4,7087200.0,1216.130005,4596450000.0,33.63669967651367,-84.4281005859375,GA,429193.0
78,ATL,12,6,0,-6,-7,-8,63,45,26,1032,1029,1027,16,16,16,29,15,1,91,2011-11-18,84.3,3272304,2011,11,18,4,46,15296,97.410004,341638.0,4.42,4247700.0,1215.650024,3827610000.0,33.63669967651367,-84.4281005859375,GA,429193.0
79,ATL,17,12,6,7,0,-7,62,50,37,1030,1027,1025,16,16,16,26,15,7,100,2011-11-19,84.3,3272304,2011,11,19,5,46,15297,97.24666866666666,320793.3333333333,4.363333333333333,4738733.333333333,1208.0933426666668,3901763333.3333335,33.63669967651367,-84.4281005859375,GA,429193.0
80,ATL,21,16,10,16,11,4,96,78,59,1028,1026,1025,16,11,2,16,8,7,102,2011-11-20,84.3,3272304,2011,11,20,6,46,15298,97.08333333333333,299948.6666666667,4.306666666666667,5229766.666666667,1200.5366613333333,3975916666.6666665,33.63669967651367,-84.4281005859375,GA,429193.0
81,ATL,25,21,16,17,16,14,97,76,54,1026,1024,1021,16,9,0,21,7,6,226,2011-11-21,84.3,3272304,2011,11,21,0,47,15299,96.91999799999999,279104.0,4.25,5720800.0,1192.97998,4050070000.0,33.63669967651367,-84.4281005859375,GA,429193.0
82,ATL,25,20,14,17,15,13,93,73,53,1021,1017,1014,16,14,2,37,13,6,203,2011-11-22,84.3,3272304,2011,11,22,1,47,15300,98.010002,319245.0,4.05,6135100.0,1188.040039,3911710000.0,33.63669967651367,-84.4281005859375,GA,429193.0
83,ATL,17,13,8,16,9,4,93,74,55,1023,1018,1014,16,16,16,42,22,4,308,2011-11-23,84.3,3272304,2011,11,23,2,47,15301,96.16999799999999,283449.0,4.0,4176800.0,1161.790039,3798940000.0,33.63669967651367,-84.4281005859375,GA,429193.0
84,ATL,19,12,3,4,1,-2,92,58,24,1028,1027,1023,16,16,16,14,6,0,16,2011-11-24,84.3,3272304,2011,11,24,3,47,15302,96.5779982,289106.2,4.01,3930300.0,1160.2300415,2731570000.0,33.63669967651367,-84.4281005859375,GA,429193.0
85,ATL,20,12,4,4,1,-2,70,49,27,1029,1027,1024,16,16,16,19,6,1,132,2011-11-25,84.3,3272304,2011,11,25,4,47,15303,96.9859984,294763.4,4.02,3683800.0,1158.670044,1664200000.0,33.63669967651367,-84.4281005859375,GA,429193.0
86,ATL,21,16,10,11,9,4,83,65,47,1026,1023,1020,16,16,16,27,11,7,128,2011-11-26,84.3,3272304,2011,11,26,5,47,15304,97.39399859999999,300420.6,4.103333333333333,3893000.0,1169.963379,2416383333.3333335,33.63669967651367,-84.4281005859375,GA,429193.0
87,ATL,23,19,15,12,11,9,80,62,44,1020,1015,1010,16,16,14,42,21,7,152,2011-11-27,84.3,3272304,2011,11,27,6,47,15305,97.80199879999999,306077.8,4.1866666666666665,4102200.0,1181.2567139999999,3168566666.666667,33.63669967651367,-84.4281005859375,GA,429193.0
88,ATL,18,12,4,16,8,1,93,78,63,1011,1009,1006,16,12,1,39,20,8,200,2011-11-28,84.3,3272304,2011,11,28,0,48,15306,98.209999,311735.0,4.27,4311400.0,1192.550049,3920750000.0,33.63669967651367,-84.4281005859375,GA,429193.0
89,ATL,4,3,2,2,1,-1,85,78,70,1016,1012,1010,16,15,11,29,16,8,239,2011-11-29,84.3,3272304,2011,11,29,1,48,15307,99.790001,320858.0,4.46,13151600.0,1195.189941,3992650000.0,33.63669967651367,-84.4281005859375,GA,429193.0
90,ATL,9,5,1,1,-1,-3,85,69,53,1022,1019,1016,16,16,16,32,17,5,308,2011-11-30,84.3,3272304,2011,11,30,2,48,15308,100.360001,302863.0,4.72,9312400.0,1246.959961,5801910000.0,33.63669967651367,-84.4281005859375,GA,429193.0
91,ATL,16,7,-2,1,-2,-3,85,59,33,1028,1026,1022,16,16,16,19,7,0,54,2011-12-01,81.14,3080001,2011,12,1,3,48,15309,100.199997,275858.0,4.94,11537400.0,1244.579956,3818680000.0,33.63669967651367,-84.4281005859375,GA,429193.0
92,ATL,18,9,1,2,-1,-4,82,53,23,1031,1030,1028,16,16,16,16,5,1,301,2011-12-02,81.14,3080001,2011,12,2,4,48,15310,100.959999,245915.0,4.84,6178600.0,1244.280029,4144310000.0,33.63669967651367,-84.4281005859375,GA,429193.0
93,ATL,17,10,3,1,-1,-3,70,49,27,1033,1031,1030,16,16,16,24,12,3,98,2011-12-03,81.14,3080001,2011,12,3,5,48,15311,100.96999866666667,243736.66666666666,4.933333333333334,6481300.0,1248.5466713333333,4145560000.0,33.63669967651367,-84.4281005859375,GA,429193.0
94,ATL,17,12,6,8,4,-1,71,61,51,1030,1028,1025,16,16,16,26,15,6,93,2011-12-04,81.14,3080001,2011,12,4,6,48,15312,100.97999833333333,241558.33333333334,5.026666666666666,6784000.0,1252.8133136666668,4146810000.0,33.63669967651367,-84.4281005859375,GA,429193.0
95,ATL,22,16,11,12,11,7,83,68,53,1024,1021,1018,16,16,16,29,14,7,136,2011-12-05,81.14,3080001,2011,12,5,0,49,15313,100.989998,239380.0,5.12,7086700.0,1257.079956,4148060000.0,33.63669967651367,-84.4281005859375,GA,429193.0
96,ATL,21,18,14,17,16,13,93,80,67,1018,1016,1014,16,10,2,27,15,8,205,2011-12-06,81.14,3080001,2011,12,6,1,49,15314,101.279999,217029.0,5.25,7783400.0,1258.469971,3734230000.0,33.63669967651367,-84.4281005859375,GA,429193.0
