,Date,Airport,Total,Flights,Booths,Mean per flight
2629,2011-12-29,IAH,12698.0,114.0,414.0,111.39
2630,2011-12-29,JFK,32784.0,161.0,1382.0,203.63
2631,2011-12-29,LAS,3594.0,20.0,119.0,179.7
2632,2011-12-29,LAX,22782.0,105.0,957.0,216.97
2633,2011-12-29,MCO,4487.0,26.0,175.0,172.58
2634,2011-12-29,MIA,27778.0,178.0,864.0,156.06
2635,2011-12-29,MSP,1828.0,14.0,75.0,130.57
2636,2011-12-29,ORD,10219.0,58.0,338.0,176.19
2637,2011-12-29,PHL,3953.0,24.0,149.0,164.71
2638,2011-12-29,PHX,2876.0,24.0,106.0,119.83
2639,2011-12-29,SEA,2789.0,19.0,111.0,146.79
2640,2011-12-29,SFO,11310.0,47.0,419.0,240.64
2641,2011-12-29,LGA,13380.0,85.0,486.0,157.41
2642,2011-12-29,BOS,3034.0,19.0,134.0,159.0
2643,2011-12-30,ATL,12998.0,73.0,377.0,178.05
2644,2011-12-30,CLT,3155.0,18.0,62.0,175.28
2645,2011-12-30,DEN,1518.0,12.0,48.0,126.5
2646,2011-12-30,DFW,7109.0,54.0,224.0,131.65
2647,2011-12-30,DTW,3749.0,19.0,167.0,197.32
2648,2011-12-30,EWR,14358.0,89.0,452.0,161.33
2649,2011-12-30,IAH,13554.0,112.0,342.0,121.02
2650,2011-12-30,JFK,34320.0,167.0,1362.0,205.51
2651,2011-12-30,LAS,1967.0,11.0,55.0,178.82
2652,2011-12-30,LAX,21105.0,98.0,873.0,215.36
2653,2011-12-30,MCO,4127.0,26.0,167.0,158.73
2654,2011-12-30,MIA,30767.0,191.0,903.0,161.08
2655,2011-12-30,MSP,2172.0,15.0,72.0,144.8
2656,2011-12-30,ORD,11116.0,61.0,312.0,182.23
2657,2011-12-30,PHL,3941.0,23.0,125.0,171.35
2658,2011-12-30,PHX,2957.0,25.0,95.0,118.28
2659,2011-12-30,SEA,3534.0,22.0,113.0,160.64
2660,2011-12-30,SFO,11360.0,47.0,372.0,241.7
2661,2011-12-30,LGA,14358.0,89.0,452.0,161.33
2662,2011-12-30,BOS,3045.0,17.0,122.0,179.0
2663,2011-12-31,ATL,13393.0,79.0,402.0,169.53
2664,2011-12-31,CLT,4938.0,33.0,80.0,149.64
2665,2011-12-31,DEN,2294.0,18.0,52.0,127.44
2666,2011-12-31,DFW,7669.0,59.0,237.0,129.98
2667,2011-12-31,DTW,4599.0,24.0,177.0,191.63
2668,2011-12-31,EWR,15104.0,96.0,481.0,157.33
2669,2011-12-31,IAH,13202.0,109.0,337.0,121.12
2670,2011-12-31,JFK,31565.0,158.0,1265.0,199.78
2671,2011-12-31,LAS,1413.0,11.0,55.0,128.45
2672,2011-12-31,LAX,24371.0,114.0,905.0,213.78
2673,2011-12-31,MCO,4262.0,30.0,197.0,142.07
2674,2011-12-31,MIA,25916.0,184.0,841.0,140.85
2675,2011-12-31,MSP,2759.0,19.0,82.0,145.21
2676,2011-12-31,ORD,11490.0,67.0,340.0,171.49
2677,2011-12-31,PHL,4806.0,29.0,170.0,165.72
2678,2011-12-31,PHX,3343.0,29.0,99.0,115.28
2679,2011-12-31,SEA,3181.0,20.0,117.0,159.05
2680,2011-12-31,SFO,12047.0,53.0,412.0,227.3
2681,2011-12-31,LGA,15104.0,96.0,481.0,157.33
2682,2011-12-31,BOS,4507.0,30.0,177.0,150.0
2683,2012-01-01,ATL,13382.0,75.0,415.0,178.43
2684,2012-01-01,CLT,3876.0,22.0,82.0,176.18
2685,2012-01-01,DEN,2151.0,17.0,82.0,126.53
2686,2012-01-01,DFW,8089.0,58.0,225.0,139.47
2687,2012-01-01,DTW,4197.0,20.0,173.0,209.85
2688,2012-01-01,EWR,14691.0,92.0,439.0,159.68
2689,2012-01-01,IAH,14362.0,122.0,361.0,117.72
2690,2012-01-01,JFK,34622.0,164.0,1362.0,211.11
2691,2012-01-01,LAS,2220.0,19.0,69.0,116.84
2692,2012-01-01,LAX,23660.0,105.0,955.0,225.33
2693,2012-01-01,MCO,3570.0,24.0,201.0,148.75
2694,2012-01-01,MIA,30757.0,190.0,840.0,161.88
2695,2012-01-01,MSP,2205.0,13.0,70.0,169.62
2696,2012-01-01,ORD,12004.0,65.0,352.0,184.68
2697,2012-01-01,PHL,5147.0,30.0,201.0,171.57
2698,2012-01-01,PHX,3206.0,26.0,120.0,123.31
2699,2012-01-01,SEA,3419.0,20.0,118.0,170.95
2700,2012-01-01,SFO,11705.0,47.0,382.0,249.04
2701,2012-01-01,LGA,14691.0,92.0,439.0,159.68
2702,2012-01-01,BOS,3591.0,18.0,135.0,199.0
2703,2012-01-02,ATL,13856.0,74.0,391.0,187.24
2704,2012-01-02,CLT,3423.0,18.0,43.0,190.17
2705,2012-01-02,DEN,1971.0,15.0,63.0,131.4
2706,2012-01-02,DFW,7535.0,53.0,195.0,142.17
2707,2012-01-02,DTW,4639.0,21.0,203.0,220.9
2708,2012-01-02,EWR,16191.0,95.0,510.0,170.43
2709,2012-01-02,IAH,14875.0,117.0,457.0,127.14
2710,2012-01-02,JFK,38185.0,171.0,1414.0,223.3
2711,2012-01-02,LAS,2184.0,15.0,88.0,145.6
2712,2012-01-02,LAX,22938.0,99.0,919.0,231.7
2713,2012-01-02,MCO,4045.0,24.0,179.0,168.54
2714,2012-01-02,MIA,36543.0,214.0,959.0,170.76
2715,2012-01-02,MSP,2652.0,18.0,82.0,147.33
2716,2012-01-02,ORD,14045.0,70.0,417.0,200.64
2717,2012-01-02,PHL,4835.0,26.0,162.0,185.96
2718,2012-01-02,PHX,3134.0,25.0,114.0,125.36
2719,2012-01-02,SEA,3243.0,20.0,116.0,162.15
2720,2012-01-02,SFO,12112.0,48.0,434.0,252.33
2721,2012-01-02,LGA,16191.0,95.0,510.0,170.43
2722,2012-01-02,BOS,3988.0,20.0,162.0,199.0
2723,2012-01-03,ATL,13396.0,73.0,352.0,183.51
2724,2012-01-03,CLT,3509.0,19.0,75.0,184.68
2725,2012-01-03,DEN,1836.0,14.0,61.0,131.14
2726,2012-01-03,DFW,7735.0,56.0,236.0,138.13
2727,2012-01-03,DTW,3997.0,19.0,188.0,210.37
2728,2012-01-03,EWR,14578.0,88.0,496.0,165.66
2729,2012-01-03,IAH,13214.0,102.0,417.0,129.55
2730,2012-01-03,JFK,36129.0,166.0,1467.0,217.64
2731,2012-01-03,LAS,1439.0,10.0,56.0,143.9
2732,2012-01-03,LAX,22900.0,100.0,963.0,229.0
2733,2012-01-03,MCO,4719.0,25.0,180.0,188.76
2734,2012-01-03,MIA,32841.0,193.0,934.0,170.16
2735,2012-01-03,MSP,2009.0,13.0,84.0,154.54
2736,2012-01-03,ORD,11140.0,55.0,362.0,202.55
2737,2012-01-03,PHL,4340.0,24.0,152.0,180.83
2738,2012-01-03,PHX,3101.0,25.0,71.0,124.04
2739,2012-01-03,SEA,3921.0,23.0,134.0,170.48
2740,2012-01-03,SFO,11579.0,47.0,350.0,246.36
2741,2012-01-03,LGA,14578.0,88.0,496.0,165.66
2742,2012-01-03,BOS,4274.0,22.0,169.0,194.0
2743,2012-01-04,ATL,13427.0,75.0,382.0,179.03
2744,2012-01-04,CLT,3269.0,18.0,88.0,181.61
2745,2012-01-04,DEN,1247.0,9.0,32.0,138.56
2746,2012-01-04,DFW,7682.0,54.0,201.0,142.26
2747,2012-01-04,DTW,4178.0,19.0,204.0,219.89
2748,2012-01-04,EWR,13472.0,80.0,518.0,168.4
2749,2012-01-04,IAH,13392.0,100.0,408.0,133.92
2750,2012-01-04,JFK,35476.0,163.0,1475.0,217.64
2751,2012-01-04,LAS,1644.0,10.0,58.0,164.4
2752,2012-01-04,LAX,23467.0,102.0,949.0,230.07
2753,2012-01-04,MCO,3509.0,21.0,145.0,167.1
2754,2012-01-04,MIA,31390.0,186.0,876.0,168.76
2755,2012-01-04,MSP,2024.0,13.0,69.0,155.69
2756,2012-01-04,ORD,13186.0,66.0,353.0,199.79
2757,2012-01-04,PHL,4304.0,24.0,194.0,179.33
2758,2012-01-04,PHX,2156.0,19.0,52.0,113.47
2759,2012-01-04,SEA,3926.0,22.0,144.0,178.45
2760,2012-01-04,SFO,12584.0,50.0,437.0,251.68
2761,2012-01-04,LGA,13472.0,80.0,518.0,168.4
2762,2012-01-04,BOS,4189.0,23.0,156.0,182.0
2763,2012-01-05,ATL,12909.0,71.0,388.0,181.82
2764,2012-01-05,CLT,3083.0,17.0,72.0,181.35
2765,2012-01-05,DEN,1602.0,12.0,57.0,133.5
2766,2012-01-05,DFW,7015.0,55.0,222.0,127.55
2767,2012-01-05,DTW,4144.0,19.0,192.0,218.11
2768,2012-01-05,EWR,13515.0,89.0,483.0,151.85
2769,2012-01-05,IAH,13870.0,115.0,398.0,120.61
2770,2012-01-05,JFK,34267.0,166.0,1473.0,206.43
2771,2012-01-05,LAS,2292.0,17.0,104.0,134.82
2772,2012-01-05,LAX,23835.0,103.0,986.0,231.41
2773,2012-01-05,MCO,4007.0,24.0,169.0,166.96
2774,2012-01-05,MIA,29723.0,178.0,881.0,166.98
2775,2012-01-05,MSP,2095.0,15.0,75.0,139.67
2776,2012-01-05,ORD,11496.0,59.0,352.0,194.85
2777,2012-01-05,PHL,4159.0,25.0,183.0,166.36
2778,2012-01-05,PHX,2184.0,18.0,67.0,121.33
2779,2012-01-05,SEA,2367.0,16.0,116.0,147.94
2780,2012-01-05,SFO,10929.0,43.0,383.0,254.16
2781,2012-01-05,LGA,13515.0,89.0,483.0,151.85
2782,2012-01-05,BOS,3356.0,19.0,117.0,176.0
2783,2012-01-06,ATL,12324.0,69.0,366.0,178.61
2784,2012-01-06,CLT,2527.0,15.0,56.0,168.47
2785,2012-01-06,DEN,1354.0,10.0,45.0,135.4
2786,2012-01-06,DFW,7650.0,57.0,242.0,134.21
2787,2012-01-06,DTW,3767.0,16.0,166.0,235.44
2788,2012-01-06,EWR,13735.0,94.0,496.0,146.12
2789,2012-01-06,IAH,14064.0,117.0,402.0,120.21
2790,2012-01-06,JFK,31515.0,160.0,1282.0,196.97
2791,2012-01-06,LAS,1436.0,11.0,63.0,130.55
2792,2012-01-06,LAX,24600.0,108.0,900.0,227.78
2793,2012-01-06,MCO,3560.0,23.0,160.0,154.78
2794,2012-01-06,MIA,31997.0,198.0,957.0,161.6
2795,2012-01-06,MSP,2296.0,15.0,72.0,153.07
2796,2012-01-06,ORD,13079.0,67.0,381.0,195.21
2797,2012-01-06,PHL,4276.0,27.0,203.0,158.37
2798,2012-01-06,PHX,2401.0,20.0,63.0,120.05
2799,2012-01-06,SEA,3791.0,22.0,147.0,172.32
2800,2012-01-06,SFO,12267.0,47.0,411.0,261.0
2801,2012-01-06,LGA,13735.0,94.0,496.0,146.12
2802,2012-01-06,BOS,3614.0,22.0,154.0,164.0
2803,2012-01-07,ATL,14466.0,79.0,428.0,183.11
2804,2012-01-07,CLT,4732.0,33.0,91.0,143.39
2805,2012-01-07,DEN,2700.0,20.0,77.0,135.0
2806,2012-01-07,DFW,8195.0,61.0,245.0,134.34
2807,2012-01-07,DTW,5082.0,24.0,222.0,211.75
2808,2012-01-07,EWR,16255.0,106.0,553.0,153.35
2809,2012-01-07,IAH,15039.0,118.0,412.0,127.45
2810,2012-01-07,JFK,33901.0,168.0,1270.0,201.79
2811,2012-01-07,LAS,1636.0,10.0,51.0,163.6
2812,2012-01-07,LAX,26360.0,114.0,980.0,231.23
2813,2012-01-07,MCO,4528.0,29.0,218.0,156.14
2814,2012-01-07,MIA,30743.0,187.0,882.0,164.4
2815,2012-01-07,MSP,3388.0,28.0,71.0,121.0
2816,2012-01-07,ORD,14743.0,78.0,451.0,189.01
2817,2012-01-07,PHL,5215.0,32.0,186.0,162.97
2818,2012-01-07,PHX,3035.0,24.0,79.0,126.46
2819,2012-01-07,SEA,4194.0,24.0,147.0,174.75
2820,2012-01-07,SFO,12914.0,52.0,455.0,248.35
2821,2012-01-07,LGA,16255.0,106.0,553.0,153.35
2822,2012-01-07,BOS,4979.0,34.0,166.0,146.0
2823,2012-01-08,ATL,12724.0,71.0,449.0,179.21
2824,2012-01-08,CLT,3725.0,22.0,70.0,169.32
2825,2012-01-08,DEN,1767.0,13.0,52.0,135.92
2826,2012-01-08,DFW,8427.0,60.0,263.0,140.45
2827,2012-01-08,DTW,4325.0,19.0,195.0,227.63
2828,2012-01-08,EWR,14764.0,99.0,544.0,149.13
2829,2012-01-08,IAH,15025.0,120.0,419.0,125.21
2830,2012-01-08,JFK,34260.0,167.0,1473.0,205.15
2831,2012-01-08,LAS,2346.0,17.0,76.0,138.0
2832,2012-01-08,LAX,25574.0,108.0,1072.0,236.8
2833,2012-01-08,MCO,3291.0,22.0,162.0,149.59
2834,2012-01-08,MIA,30670.0,186.0,883.0,164.89
2835,2012-01-08,MSP,2265.0,16.0,95.0,141.56
2836,2012-01-08,ORD,13389.0,68.0,424.0,196.9
2837,2012-01-08,PHL,4936.0,31.0,209.0,159.23
2838,2012-01-08,PHX,2906.0,23.0,78.0,126.35
2839,2012-01-08,SEA,3287.0,22.0,131.0,149.41
2840,2012-01-08,SFO,11606.0,44.0,454.0,263.77
2841,2012-01-08,LGA,14764.0,99.0,544.0,149.13
2842,2012-01-08,BOS,3746.0,21.0,143.0,178.0
2843,2012-01-09,ATL,12433.0,70.0,384.0,177.61
2844,2012-01-09,CLT,2766.0,16.0,53.0,172.88
2845,2012-01-09,DEN,1162.0,9.0,34.0,129.11
2846,2012-01-09,DFW,7198.0,53.0,203.0,135.81
2847,2012-01-09,DTW,4481.0,20.0,217.0,224.05
2848,2012-01-09,EWR,12980.0,95.0,477.0,136.63
2849,2012-01-09,IAH,13178.0,112.0,396.0,117.66
2850,2012-01-09,JFK,31224.0,156.0,1363.0,200.15
2851,2012-01-09,LAS,1812.0,11.0,54.0,164.73
2852,2012-01-09,LAX,21755.0,95.0,1039.0,229.0
2853,2012-01-09,MCO,2896.0,18.0,127.0,160.89
2854,2012-01-09,MIA,28304.0,183.0,864.0,154.67
2855,2012-01-09,MSP,1975.0,15.0,85.0,131.67
2856,2012-01-09,ORD,13292.0,70.0,392.0,189.89
2857,2012-01-09,PHL,4181.0,25.0,162.0,167.24
2858,2012-01-09,PHX,2299.0,19.0,70.0,121.0
2859,2012-01-09,SEA,3337.0,21.0,113.0,158.9
2860,2012-01-09,SFO,11776.0,47.0,376.0,250.55
2861,2012-01-09,LGA,12980.0,95.0,477.0,136.63
2862,2012-01-09,BOS,3127.0,22.0,147.0,142.0
2863,2012-01-10,ATL,11359.0,68.0,399.0,167.04
2864,2012-01-10,CLT,2592.0,16.0,57.0,162.0
2865,2012-01-10,DEN,1245.0,10.0,42.0,124.5
2866,2012-01-10,DFW,6567.0,51.0,235.0,128.76
2867,2012-01-10,DTW,3416.0,17.0,151.0,200.94
2868,2012-01-10,EWR,10756.0,86.0,485.0,125.07
2869,2012-01-10,IAH,11194.0,99.0,373.0,113.07
2870,2012-01-10,JFK,29143.0,154.0,1257.0,189.24
2871,2012-01-10,LAS,1309.0,7.0,45.0,187.0
2872,2012-01-10,LAX,21622.0,99.0,1029.0,218.4
2873,2012-01-10,MCO,3168.0,20.0,156.0,158.4
2874,2012-01-10,MIA,26913.0,178.0,842.0,151.2
2875,2012-01-10,MSP,1576.0,10.0,82.0,157.6
2876,2012-01-10,ORD,10422.0,55.0,343.0,189.49
2877,2012-01-10,PHL,3117.0,22.0,143.0,141.68
2878,2012-01-10,PHX,2090.0,18.0,94.0,116.11
2879,2012-01-10,SEA,3475.0,21.0,122.0,165.48
2880,2012-01-10,SFO,10981.0,44.0,459.0,249.57
2881,2012-01-10,LGA,10756.0,86.0,485.0,125.07
2882,2012-01-10,BOS,2965.0,22.0,133.0,134.0
2883,2012-01-11,ATL,10372.0,69.0,356.0,150.32
2884,2012-01-11,CLT,2105.0,15.0,64.0,140.33
2885,2012-01-11,DEN,1079.0,10.0,52.0,107.9
2886,2012-01-11,DFW,6516.0,50.0,223.0,130.32
2887,2012-01-11,DTW,3653.0,19.0,166.0,192.26
2888,2012-01-11,EWR,9937.0,79.0,485.0,125.78
2889,2012-01-11,IAH,11129.0,101.0,362.0,110.19
2890,2012-01-11,JFK,27393.0,146.0,1223.0,187.62
2891,2012-01-11,LAS,1062.0,7.0,41.0,151.71
2892,2012-01-11,LAX,21821.0,101.0,916.0,216.05
2893,2012-01-11,MCO,2473.0,17.0,105.0,145.47
2894,2012-01-11,MIA,25582.0,175.0,833.0,146.18
2895,2012-01-11,MSP,1858.0,13.0,67.0,142.92
2896,2012-01-11,ORD,11270.0,61.0,374.0,184.75
2897,2012-01-11,PHL,2758.0,21.0,128.0,131.33
2898,2012-01-11,PHX,1682.0,18.0,56.0,93.44
2899,2012-01-11,SEA,3395.0,21.0,122.0,161.67
2900,2012-01-11,SFO,10733.0,45.0,392.0,238.51
2901,2012-01-11,LGA,9937.0,79.0,485.0,125.78
2902,2012-01-11,BOS,2802.0,23.0,137.0,121.0
2903,2012-01-12,ATL,10442.0,71.0,408.0,147.07
2904,2012-01-12,CLT,2265.0,17.0,53.0,133.24
2905,2012-01-12,DEN,1182.0,11.0,36.0,107.45
2906,2012-01-12,DFW,5858.0,51.0,217.0,114.86
2907,2012-01-12,DTW,3761.0,20.0,204.0,188.05
2908,2012-01-12,EWR,11182.0,83.0,483.0,134.72
2909,2012-01-12,IAH,10845.0,114.0,367.0,95.13
2910,2012-01-12,JFK,27318.0,149.0,1369.0,183.34
2911,2012-01-12,LAS,2152.0,18.0,89.0,119.56
2912,2012-01-12,LAX,21497.0,101.0,972.0,212.84
2913,2012-01-12,MCO,3439.0,22.0,124.0,156.32
2914,2012-01-12,MIA,26398.0,173.0,832.0,152.59
2915,2012-01-12,MSP,1706.0,13.0,83.0,131.23
2916,2012-01-12,ORD,9631.0,57.0,333.0,168.96
2917,2012-01-12,PHL,2766.0,24.0,184.0,115.25
2918,2012-01-12,PHX,1622.0,17.0,69.0,95.41
2919,2012-01-12,SEA,2168.0,17.0,107.0,127.53
2920,2012-01-12,SFO,9796.0,43.0,394.0,227.81
2921,2012-01-12,LGA,11182.0,83.0,483.0,134.72
2922,2012-01-12,BOS,2209.0,17.0,132.0,129.0
2923,2012-01-13,ATL,10112.0,68.0,379.0,148.71
2924,2012-01-13,CLT,2019.0,15.0,68.0,134.6
2925,2012-01-13,DEN,1148.0,10.0,37.0,114.8
2926,2012-01-13,DFW,6032.0,53.0,228.0,113.81
2927,2012-01-13,DTW,3221.0,16.0,178.0,201.31
2928,2012-01-13,EWR,11211.0,87.0,475.0,128.86
2929,2012-01-13,IAH,11403.0,115.0,409.0,99.16
2930,2012-01-13,JFK,26639.0,152.0,1257.0,175.26
2931,2012-01-13,LAS,1341.0,11.0,54.0,121.91
2932,2012-01-13,LAX,20512.0,104.0,964.0,197.23
2933,2012-01-13,MCO,3066.0,20.0,158.0,153.3
2934,2012-01-13,MIA,27502.0,189.0,903.0,145.51
2935,2012-01-13,MSP,1944.0,15.0,92.0,129.6
2936,2012-01-13,ORD,10779.0,63.0,398.0,171.1
2937,2012-01-13,PHL,3116.0,26.0,179.0,119.85
2938,2012-01-13,PHX,1916.0,20.0,64.0,95.8
2939,2012-01-13,SEA,3169.0,22.0,127.0,144.05
2940,2012-01-13,SFO,10740.0,46.0,389.0,233.48
2941,2012-01-13,LGA,11211.0,87.0,475.0,128.86
2942,2012-01-13,BOS,3014.0,23.0,137.0,131.0
2943,2012-01-14,ATL,12598.0,77.0,437.0,163.61
2944,2012-01-14,CLT,4333.0,33.0,107.0,131.3
2945,2012-01-14,DEN,2000.0,17.0,67.0,117.65
2946,2012-01-14,DFW,7377.0,60.0,200.0,122.95
2947,2012-01-14,DTW,4200.0,23.0,203.0,182.61
2948,2012-01-14,EWR,14990.0,103.0,505.0,145.53
2949,2012-01-14,IAH,12945.0,115.0,418.0,112.57
2950,2012-01-14,JFK,31661.0,161.0,1217.0,196.65
2951,2012-01-14,LAS,1360.0,10.0,47.0,136.0
2952,2012-01-14,LAX,23722.0,110.0,1000.0,215.65
2953,2012-01-14,MCO,4019.0,23.0,160.0,174.74
2954,2012-01-14,MIA,27322.0,180.0,890.0,151.79
2955,2012-01-14,MSP,3386.0,25.0,118.0,135.44
2956,2012-01-14,ORD,12515.0,71.0,390.0,176.27
2957,2012-01-14,PHL,4543.0,31.0,166.0,146.55
2958,2012-01-14,PHX,2597.0,24.0,80.0,108.21
2959,2012-01-14,SEA,3503.0,22.0,134.0,159.23
2960,2012-01-14,SFO,12038.0,51.0,463.0,236.04
2961,2012-01-14,LGA,14990.0,103.0,505.0,145.53
2962,2012-01-14,BOS,4634.0,32.0,186.0,144.0
2963,2012-01-15,ATL,11601.0,71.0,419.0,163.39
2964,2012-01-15,CLT,3177.0,22.0,88.0,144.41
2965,2012-01-15,DEN,1586.0,13.0,62.0,122.0
2966,2012-01-15,DFW,7876.0,60.0,256.0,131.27
2967,2012-01-15,DTW,3818.0,19.0,169.0,200.95
2968,2012-01-15,EWR,13481.0,101.0,482.0,133.48
2969,2012-01-15,IAH,13662.0,120.0,451.0,113.85
2970,2012-01-15,JFK,29974.0,151.0,1326.0,198.5
2971,2012-01-15,LAS,2035.0,17.0,83.0,119.71
2972,2012-01-15,LAX,22866.0,105.0,936.0,217.77
2973,2012-01-15,MCO,3023.0,21.0,146.0,143.95
2974,2012-01-15,MIA,27666.0,183.0,814.0,151.18
2975,2012-01-15,MSP,2334.0,18.0,87.0,129.67
2976,2012-01-15,ORD,12118.0,67.0,374.0,180.87
2977,2012-01-15,PHL,4228.0,31.0,189.0,136.39
2978,2012-01-15,PHX,2549.0,23.0,81.0,110.83
2979,2012-01-15,SEA,2998.0,20.0,155.0,149.9
2980,2012-01-15,SFO,11688.0,46.0,452.0,254.09
2981,2012-01-15,LGA,13481.0,101.0,482.0,133.48
2982,2012-01-15,BOS,3484.0,21.0,127.0,165.0
2983,2012-01-16,ATL,11588.0,71.0,367.0,163.21
2984,2012-01-16,CLT,2642.0,16.0,52.0,165.13
2985,2012-01-16,DEN,1307.0,10.0,39.0,130.7
2986,2012-01-16,DFW,7168.0,53.0,241.0,135.25
2987,2012-01-16,DTW,4292.0,20.0,226.0,214.6
2988,2012-01-16,EWR,14108.0,97.0,520.0,145.44
2989,2012-01-16,IAH,12097.0,110.0,389.0,109.97
2990,2012-01-16,JFK,31872.0,151.0,1338.0,211.07
2991,2012-01-16,LAS,1461.0,9.0,64.0,162.33
2992,2012-01-16,LAX,20853.0,97.0,993.0,214.98
2993,2012-01-16,MCO,2400.0,17.0,132.0,141.18
2994,2012-01-16,MIA,25842.0,174.0,918.0,148.52
2995,2012-01-16,MSP,2025.0,15.0,65.0,135.0
2996,2012-01-16,ORD,12844.0,67.0,421.0,191.7
2997,2012-01-16,PHL,3775.0,26.0,172.0,145.19
2998,2012-01-16,PHX,2214.0,19.0,66.0,116.53
2999,2012-01-16,SEA,3114.0,20.0,128.0,155.7
3000,2012-01-16,SFO,11783.0,46.0,478.0,256.15
3001,2012-01-16,LGA,14108.0,97.0,520.0,145.44
3002,2012-01-16,BOS,3562.0,20.0,114.0,178.0
3003,2012-01-17,ATL,9765.0,65.0,423.0,150.23
3004,2012-01-17,CLT,2312.0,16.0,55.0,144.5
3005,2012-01-17,DEN,1177.0,11.0,39.0,107.0
3006,2012-01-17,DFW,5730.0,50.0,218.0,114.6
3007,2012-01-17,DTW,2579.0,16.0,187.0,161.19
3008,2012-01-17,EWR,10116.0,78.0,405.0,129.69
3009,2012-01-17,IAH,10188.0,98.0,353.0,103.96
3010,2012-01-17,JFK,26562.0,145.0,1281.0,183.19
3011,2012-01-17,LAS,1057.0,7.0,29.0,151.0
3012,2012-01-17,LAX,21048.0,92.0,1094.0,228.78
3013,2012-01-17,MCO,2591.0,18.0,108.0,143.94
3014,2012-01-17,MIA,23462.0,163.0,808.0,143.94
3015,2012-01-17,MSP,1513.0,10.0,70.0,151.3
3016,2012-01-17,ORD,8791.0,51.0,362.0,172.37
3017,2012-01-17,PHL,2419.0,22.0,144.0,109.95
3018,2012-01-17,PHX,1941.0,18.0,80.0,107.83
3019,2012-01-17,SEA,3161.0,21.0,141.0,150.52
3020,2012-01-17,SFO,10216.0,42.0,367.0,243.24
3021,2012-01-17,LGA,10116.0,78.0,405.0,129.69
3022,2012-01-17,BOS,2966.0,19.0,125.0,156.0
3023,2012-01-18,ATL,8915.0,69.0,420.0,129.2
3024,2012-01-18,CLT,1769.0,14.0,55.0,126.36
3025,2012-01-18,DEN,628.0,8.0,21.0,78.5
3026,2012-01-18,DFW,5238.0,47.0,204.0,111.45
3027,2012-01-18,DTW,3177.0,18.0,158.0,176.5
3028,2012-01-18,EWR,9865.0,77.0,423.0,128.12
3029,2012-01-18,IAH,9549.0,98.0,320.0,97.44
3030,2012-01-18,JFK,26634.0,145.0,1211.0,183.68
3031,2012-01-18,LAS,1032.0,6.0,29.0,172.0
3032,2012-01-18,LAX,21805.0,103.0,932.0,211.7
3033,2012-01-18,MCO,2456.0,17.0,141.0,144.47
3034,2012-01-18,MIA,23424.0,170.0,816.0,137.79
3035,2012-01-18,MSP,2048.0,19.0,93.0,107.79
3036,2012-01-18,ORD,10217.0,61.0,367.0,167.49
3037,2012-01-18,PHL,2278.0,21.0,144.0,108.48
3038,2012-01-18,PHX,1413.0,18.0,69.0,78.5
3039,2012-01-18,SEA,2880.0,20.0,118.0,144.0
3040,2012-01-18,SFO,11276.0,48.0,467.0,234.92
3041,2012-01-18,LGA,9865.0,77.0,423.0,128.12
3042,2012-01-18,BOS,2614.0,22.0,142.0,118.0
3043,2012-01-19,ATL,8678.0,71.0,382.0,122.23
3044,2012-01-19,CLT,1868.0,16.0,54.0,116.75
3045,2012-01-19,DEN,1016.0,11.0,43.0,92.36
3046,2012-01-19,DFW,5160.0,52.0,208.0,99.23
3047,2012-01-19,DTW,3056.0,19.0,168.0,160.84
3048,2012-01-19,EWR,10516.0,86.0,443.0,122.28
3049,2012-01-19,IAH,9348.0,114.0,349.0,82.0
3050,2012-01-19,JFK,26415.0,146.0,1164.0,180.92
3051,2012-01-19,LAS,2375.0,17.0,94.0,139.71
3052,2012-01-19,LAX,20824.0,99.0,983.0,210.34
3053,2012-01-19,MCO,2859.0,20.0,113.0,142.95
3054,2012-01-19,MIA,23163.0,168.0,819.0,137.88
3055,2012-01-19,MSP,1591.0,13.0,79.0,122.38
3056,2012-01-19,ORD,8312.0,54.0,313.0,153.93
3057,2012-01-19,PHL,2041.0,24.0,150.0,85.04
3058,2012-01-19,PHX,1394.0,17.0,75.0,82.0
3059,2012-01-19,SEA,1483.0,7.0,74.0,211.86
3060,2012-01-19,SFO,9906.0,44.0,381.0,225.14
3061,2012-01-19,LGA,10516.0,86.0,443.0,122.28
3062,2012-01-19,BOS,2416.0,18.0,127.0,134.0
3063,2012-01-20,ATL,9703.0,68.0,442.0,142.69
3064,2012-01-20,CLT,1946.0,15.0,62.0,129.73
3065,2012-01-20,DEN,1093.0,9.0,39.0,121.44
3066,2012-01-20,DFW,5690.0,52.0,241.0,109.42
3067,2012-01-20,DTW,3392.0,17.0,209.0,199.53
3068,2012-01-20,EWR,11883.0,92.0,464.0,129.16
3069,2012-01-20,IAH,10650.0,115.0,409.0,92.61
3070,2012-01-20,JFK,26603.0,149.0,1319.0,178.54
3071,2012-01-20,LAS,1138.0,9.0,44.0,126.44
3072,2012-01-20,LAX,19488.0,97.0,922.0,200.91
3073,2012-01-20,MCO,2900.0,20.0,158.0,145.0
3074,2012-01-20,MIA,27092.0,185.0,953.0,146.44
3075,2012-01-20,MSP,2407.0,19.0,97.0,126.68
3076,2012-01-20,ORD,10747.0,64.0,357.0,167.92
3077,2012-01-20,PHL,2982.0,29.0,184.0,102.83
